transliteration,translation,source_file,norm
3 GÙ URUDU ŠÀ.BA 5 GÙ 10 ma-na.TA a Kàniisûsébi4lam,"3 talents of copper, of which he sent me 5 talents at 10 minas each to Kanesh.",akkadian-translation.csv,3 gu urudu saba 5 gu 10 manata a kaniisusebi4lam
3 ma-na URUDU da-/a-sú ša A-bu-a ša iš-tù Kà-ni-ìš : a-dí Wa-ah-šu-ša-na áš-qú-ul,"3 minas of copper, the fee for Abuwa for the stretch from Kanesh to Wahšušana, I paid.",akkadian-translation.csv,3 mana urudu daasu sa abua sa istu kaniis adi waahsusana asquul
3 ma-na URUDU da-a-sú ša a-bu-a ša iš-tù kà-ni-ìš a-dí wa-aḫ-šu-ša-na áš-qú-ul,"3 minas of copper, the fee for Abuwa for the stretch from Kanesh to Wahšušana, I paid.",phucthaiv02_oa_sentences.csv,3 mana urudu daasu sa abua sa istu kaniis adi waahsusana asquul
4 GÚ AN.NA ku-nu-ki ša A-šùr-i-mì-tí dIM-ba-ni ir-dí-a-ni,Adad-bªni conducted 4 talents of tin sealed by Aššur-imitt‰ here.,akkadian-translation.csv,4 gu anna kunuki sa asurimiti dimbani irdiani
4 GÚ AN.NA ku-nu-ki ša a-šùr-i-mì-tí (d)IM-ba-ni ir-dí-a-ni,"4 talents of sealed tin of Aššur-imittī, Adad-bāni brought to me.",phucthaiv02_oa_sentences.csv,4 gu anna kunuki sa asurimiti dimbani irdiani
5 GIN ina iserâtim im-ti,5 shekels decreased from the normal amount,akkadian-translation.csv,5 gin ina iseratim imti
5 gín ina išerâtim im-ṭí,5 shekels were missing from the normal accounts,akkadian-translation.csv,5 gin ina iseratim imti
50 ma-na URUDU ší-kam tám-kà-ri ú-ša-da?-an? ú-šé-ba-lam,he will make my merchant pay 50 minas of šikku-copper and send it to me.”,akkadian-translation.csv,50 mana urudu sikam tamkari usadaan usebalam
50 ma-na URUDU ší-kam tám-kà-ri ú-ša-da-an ú-šé-ba-lam,"he will make my merchant pay 50 minas of -copper and send it to me.""",phucthaiv02_oa_sentences.csv,50 mana urudu sikam tamkari usadaan usebalam
6 1/2 mane 2 siqlin kaspam sa-ru pcc-am i vé-er Dan-A-sùr Pu-šu-ki-in i-su,"6 1/2 minas 2 shekels of silver, refined, Pusu-ken has upon Dan-Assur.",akkadian-translation.csv,6 12 mane 2 siqlin kaspam saru pccam i veer danasur pusukiin isu
6 1/2 mane 2 siqlin kaspam sa-ru pcc-am i vé-er Dan-A-sùr Pu-su-ki-in i-su,Pūšu-kēn has a claim of 6 1/2 minas 2 shekels of refined silver against Dan-Aššur.,akkadian-translation.csv,6 12 mane 2 siqlin kaspam saru pccam i veer danasur pusukiin isu
a-bi a-ta be-lí a-ta lá ta-qá-bi um-ma a-ta-ma i-qi-in-im a-šu-mì ta-pá-i-šu-ú na-áš-<pè>-er-tám uš-té-bi-lam,"Please my father, my lord, do not think: ‘Out of jealousy he has sent me a letter about his partner!’",akkadian-translation.csv,abi ata beli ata la taqabi umma atama iqiinim asumi tapaisuu naaspeertam ustebilam
a-bi a-ta be-lí a-ta lá ta-qá-bi um-ma a-ta-ma i-qí-in-im a-šu-mì ta-pá-i-šu-ú na-áš-pè-er-tám uš-té-bi-lam,"Please my father, my lord, do not think: ""Out of jealousy he has sent me a letter about his partner!""",phucthaiv02_oa_sentences.csv,abi ata beli ata la taqabi umma atama iqiinim asumi tapaisuu naaspeertam ustebilam
a-bi lu sa-lim lu ba-li-it,May my father be well. May he live.,akkadian-translation.csv,abi lu salim lu baliit
[a]-bi lu ša-lim lu ba-[l]i-[it],May my father be well and healthy!,akkadian-translation.csv,abi lu salim lu baliit
a-bu-um ki-i šu-mi-su-ma,The father is like his name,akkadian-translation.csv,abuum kii sumisuma
a-bu-um ki-i šu-mi-šu-ma,the father is like his name,akkadian-translation.csv,abuum kii sumisuma
a-bu-um ki-i šu-mi-šu-ma,The father is like his name.,akkadian-translation.csv,abuum kii sumisuma
a-hi a-ta IGI A-šur a-kà-ra-ba-ku-um,"(Then) my dear brother, I will pray for you before Aššur.’",akkadian-translation.csv,ahi ata igi asur akarabakuum
a-hi a-ta IGI a-šur a-kà-ra-ba-ku-um,"My dear brother, I will pray for you before Aššur.",phucthaiv02_oa_sentences.csv,ahi ata igi asur akarabakuum
[a]-lu-um [dí-nam] [IGI GIš.KAK-en GAL-en] i-na ha-am-ri-im i-dì-in-ma,The City rendered [a verdict] in the holy precinct [(before the two great weapons)?]:,akkadian-translation.csv,aluum dinam igi giskaken galen ina haamriim idiinma
[a]-lu-um [di-nam] [IGI GIS.KAK-en GAL-en] i-na ha-am-ri-im i-di-in-ma,The City rendered [a verdict] in the holy precinct [(before the two great weapons)7]:,akkadian-translation.csv,aluum dinam igi giskaken galen ina haamriim idiinma
a-ma-a dam-qá-tù-šu ša Al-<pì>-lí ša i-na Té-ga-ra-ma ú-ta-mì-ú,"Really, this is the friendliness of AlpilÈ whom I made swear an oath in Tegarama",akkadian-translation.csv,amaa damqatusu sa alpili sa ina tegarama utamiu
a-ma-a dam-qá-tù-šu ša al-pì-lí ša i-na té-ga-ra-ma ú-ta-mì-ú,"Really, this is the friendliness of Alpilī whom I made swear an oath in Tegarama",phucthaiv02_oa_sentences.csv,amaa damqatusu sa alpili sa ina tegarama utamiu
[a]-ma-kam [A-mur]-Ištar i-na [Ébe-tim ṭ]ú-ur-da,Over there chase Amur-Ištar out of [the house].,akkadian-translation.csv,amakam amuristar ina ebetim tuurda
a-ma-kam a-mur-IŠTAR i-na É-be-tim ṭù-ur-da,Over there chase Amur-Istar out of [the house].,phucthaiv02_oa_sentences.csv,amakam amuristar ina ebetim tuurda
a-ma-kam iš-ti-kà li-sí (?),There he (?) may go out with you.,akkadian-translation.csv,amakam istika lisi
a-ma-kam iš-tí-kà li-sí,Let it be released there with you.,published_texts_sentences.csv,amakam istika lisi
a-na 8 ITU.KAM ša ší-[be-e] a-šé-a-kum,Within 8 months I will look for witnesses against you.,akkadian-translation.csv,ana 8 itukam sa sibee aseakum
a-na 8 ITU.KAM sa si-be-e a-se-a-kum,Within 8 months I will look for a witnessed statement against you.,akkadian-translation.csv,ana 8 itukam sa sibee aseakum
a-na a-lá-ak šu-dEN.LÍL i-ša-qal,He is to pay before šu-Illil arrives.,akkadian-translation.csv,ana alaak sudenlil isaqal
a-na a-lá-ak šu-(d)EN.LÍL i-ša-qal,He is to pay before Šu-Illil arrives.,phucthaiv02_oa_sentences.csv,ana alaak sudenlil isaqal
a-na A-lá-hi-im qí-bi-ma : um-ma Puzur4-A-šur,To Al-ahum from Puzur-Aššur,akkadian-translation.csv,ana alahiim qibima umma puzur4asur
a-na A-la-hi-im qi-bi-ma: um-ma Puzur4-A-sur,To Ali-ahum from Puzur-Assur:,akkadian-translation.csv,ana alahiim qibima umma puzur4asur
a-na A-lá-hi-im qí-bi-ma um-ma Puzúr-A-šur,To Al-ahum from Puzur-Aššur:,akkadian-translation.csv,ana alahiim qibima umma puzurasur
a-na a-lá-hi-im qí-bi-ma um-ma PÚZUR-a-šur,To Ali-ahum from Puzur-Aššur:,phucthaiv02_oa_sentences.csv,ana alahiim qibima umma puzurasur
a-na A-šur-DÙG qí-bí-ma,"To Aššur-ṭab,",akkadian-translation.csv,ana asurdug qibima
a-na A-šùr-DÙG qí-bi-ma,To Ashur-tab say:,akkadian-translation.csv,ana asurdug qibima
a-na A-šur-i-mì-tí qí-bi-ma,specifically to Aššur-imitt‰:,akkadian-translation.csv,ana asurimiti qibima
a-na a-šur-i-mì-tí qí-bi-ma,specifically to Aššur-imittġ:,phucthaiv02_oa_sentences.csv,ana asurimiti qibima
a-na a-wa-tim a-ni-a-tim kà-ru-um Ka-né-eš i-dí-ni-a-tí-ma IGI GÍR ša A-šur ší-bu-tí-ni ni-dí-in,"Upon these words, the kārum of Kaneš gave us (the verdict) and in the presence of the dagger of (the god) Ashur, we gave our testimony.",akkadian-translation.csv,ana awatim aniatim karuum kanees idiniatima igi gir sa asur sibutini nidiin
a-na a-wa-tim a-ni-a-tim kà-ru-um Kà-né-eš i-dí-ni-a-tí-ma IGI GÍR ša A-šur ší-bu-tí-ni ni-dí-in,The Kanesh colony gave us for these proceedings and we gave our testimony before Aššur’s dagger.,akkadian-translation.csv,ana awatim aniatim karuum kanees idiniatima igi gir sa asur sibutini nidiin
a-na a-wa-tim a-ni-a-tim kà-ru-um Kà-ni-eš TUR.GAL i-dí-na-ni IGI GÍR ša A-šur ší-bu-tí a-dí-in,For this affair the plenary karum Kanesh ‘gave’ me (as witness) and before Aššur's dagger I gave my testimony.,akkadian-translation.csv,ana awatim aniatim karuum kanies turgal idinani igi gir sa asur sibuti adiin
a-na a-wa-tim a-ni-a-tim kà-ru-um kà-ni-eš TUR.GAL i-dí-na-ni IGI GÍR ša a-šur ší-bu-tí a-dí-in,For this affair the plenary Kanesh 'gave' me (as witness) and before Aššur's dagger I gave my testimony.,phucthaiv02_oa_sentences.csv,ana awatim aniatim karuum kanies turgal idinani igi gir sa asur sibuti adiin
a-na a-wa-tim a-ni-a-tim kà-ru-um Kà-ni-iš i-dí-in-ni-a-tí-ma,The Kanesh Colony gave us for this dispute,akkadian-translation.csv,ana awatim aniatim karuum kaniis idiinniatima
a-na a-wa-tim a-ni-a-tim kà-ru-um kà-ni-iš i-dí-in-ni-a-tí-ma,"For these matters, the colony at Kanesh gave us permisssion and [we gave our witnesses before the dagger of Aššur.]",published_texts_sentences.csv,ana awatim aniatim karuum kaniis idiinniatima
a-na a-wa-tim a-ni-a-tim kà-ru-um Kà-ni-is i-dí-ni-a-tí-ma,"For these legal matters, the Karum Kanish has appointed us (as judges).",akkadian-translation.csv,ana awatim aniatim karuum kaniis idiniatima
a-na a-wa-tim a-ni-a-tim kà-ru-um Kà-ni-ìš i-dí-ni-a-tí-ma,The Kanesh colony gave us for this case,akkadian-translation.csv,ana awatim aniatim karuum kaniis idiniatima
a-na a-wa-tim a-ni-a-tim kà-ru-um Kà-ni-iš i-dí-ni-a-tí-ma IGI GÍR ša A-šur ni-dí-in,The Kanesh colony gave us for these proceedings and we gave (our testimony) before the dagger of Aššur.,akkadian-translation.csv,ana awatim aniatim karuum kaniis idiniatima igi gir sa asur nidiin
a-na a-wa-tim a-ni-a-tim kà-ru-um kà-ni-iš i-dí-ni-a-tí-ma IGI GÍR ša a-šur ni-dí-in,The Kanesh colony gave us (verdict) for these proceedings and we gave testimony before the dagger of Aššur.,phucthaiv02_oa_sentences.csv,ana awatim aniatim karuum kaniis idiniatima igi gir sa asur nidiin
a-na a-wa-tim a-ni-a-tim kà-ru-um Kà-ni-iš i-dí-ni-a-tí-ma IGI GÍR ša A-šur ší-bu-tí-ni ni-dí-in,"Regarding these matters, the karum of Kanesh gave us judgment and we gave our testimony in the presence of the dagger of Ashur.",akkadian-translation.csv,ana awatim aniatim karuum kaniis idiniatima igi gir sa asur sibutini nidiin
a-na a-wa-tim [a-ni-a-tim kà]-ru-um : Kà-ni-iš [i-dí-ni-a-tí-ma] : IGI GÍR ša A-šur [ší-bu-tí-ni] ni-dí-in,The Kanesh colony gave us for this case etc.,akkadian-translation.csv,ana awatim aniatim karuum kaniis idiniatima igi gir sa asur sibutini nidiin
a-na a-wa-tim a-ni-a-tim kà-ru-um Kà-ni-iš i-dí-ni-a-tí-ma ší-bu-tí-ni IGI [GÍR] ša A-šùr : ni-dí-i[n],The Kanesh colony gave us for this case and we gave our testimony before the dagger of Aššur.,akkadian-translation.csv,ana awatim aniatim karuum kaniis idiniatima sibutini igi gir sa asur nidiin
a-na a-wa-tim a-ni-a-tim kà-ru-um kà-ni-iš i-dí-ni-a-tí-ma ší-bu-tí-ni IGI GÍR ša a-šùr ni-dí-in,The Kanesh colony has given us for these proceedings and we gave our testimony before the dagger of Aššur.,phucthaiv02_oa_sentences.csv,ana awatim aniatim karuum kaniis idiniatima sibutini igi gir sa asur nidiin
a-na ba-áb DINGIR! šé-ru-dí-im a-zi-iz-ma Pu-šu-ki-in ú e-ba-ru-tí uš-ta-hi-du!-ni-ma ú-lá uš-té-ri-id-kà,I was ready to lead you to the Gate of the God but P¥šu-k®n and my friends kept warning me so I did not lead you there.,akkadian-translation.csv,ana baab dingir serudiim aziizma pusukiin u ebaruti ustahidunima ula usteriidka
a-na bā-áb DINGIR šé-ru-dí-im a-zi-iz-ma pu-šuki-in ú e-ba-ru-tí uš-ta-ḫi-du-ni-ma ú-lá uš-té-ri-id-kà,I was ready to lead you to the Gate of the God but Pūšu-kēn and my friends kept warning me so I did not lead you there.,phucthaiv02_oa_sentences.csv,ana baab dingir serudiim aziizma pusukiin u ebaruti ustahidunima ula usteriidka
a-na dMAR.TU-b[a-ni (...)] E-nu-um-Bé-lim LUGAL-dIM ù Pá-na-kà qí-bi-ma um-ma ša-lim-A-šùr-ma,"To Amurrum-bªni, (...), Ennam-B®lum, šar-Adad and Panaka from šalim-Aššur:",akkadian-translation.csv,ana dmartubani enuumbelim lugaldim u panaka qibima umma salimasurma
a-na (d)MAR.TU-ba-ni ... e-nu-um-bé-lim LUGAL-(d)IM ù pá-na-kà qí-bi-ma um-ma ša-lim-a-šùr-ma,"To Amurrum-bāni, (...), Ennam-Bēlum, Šar-Adad and Panaka, speak: thus says Šalim-Aššur.",phucthaiv02_oa_sentences.csv,ana dmartubani enuumbelim lugaldim u panaka qibima umma salimasurma
[a-]na DUMU Ha-šu-ú-ma-a[n] [š]u-uq-lá-ma,Pay ... to Haššu-uman’s son,akkadian-translation.csv,ana dumu hasuumaan suuqlama
[...] a-na DUMU ḩa-šu-ú-ma-an šu-uq-lá-ma,Pay [...] to Haššu-uman's son,phucthaiv02_oa_sentences.csv,ana dumu hasuumaan suuqlama
a-na En-na-<Sú>-in ú A-lá-hi-im qí-bi-ma um-ma MAN-A-šur-ma,To Enna-Suen and Al-ahum from Puzur-Aššur:,akkadian-translation.csv,ana ennasuin u alahiim qibima umma manasurma
a-na en-na-sú-in ú a-lá-ḫi-im qí-bi-ma um-ma MAN-a-šur-ma,To Enna-Suen and Ali-ahum from Puzur-Aššur:,phucthaiv02_oa_sentences.csv,ana ennasuin u alahiim qibima umma manasurma
a-na e-pé-si an-ni-i-im lu-u ti-de-e,Be well aware of the consequences of such a way of acting!,akkadian-translation.csv,ana epesi anniiim luu tidee
a-na e-pé-ši an-ni-i-im lu-Û ti-de-e,Pay close attention to the consequences of such a course of action!,akkadian-translation.csv,ana epesi anniiim luu tidee
a-na Ku-li-a A-šur-lá-ma-sí ù A-šur-lá-ma-sí-ma qí-bi-ma um-ma A-šur-e-mu-qí,"To Kuliya, Aššur-lamassÈ and Aššur-lamassÈ, thus says Aššur-emuqÈ.",akkadian-translation.csv,ana kulia asurlamasi u asurlamasima qibima umma asuremuqi
a-na ku-li-a a-šur-lā-ma-sí ù a-šur-lā-ma-sí-ma qí-bi-ma um-ma a-šur-e-mu-qí,"To Kuliya, Aššur-lamassī and Aššur-lamassī, thus says Aššur-emuqī.",phucthaiv02_oa_sentences.csv,ana kulia asurlamasi u asurlamasima qibima umma asuremuqi
a-na Kur-ub-Ištar I-ku-pì-a šu-Ištar A-dí-da ù A-mur-Ištar qí-bi-ma um-ma ša-lim-A-šùr-ma,"To Kurub-Ištar, Ik¥n-piya, šu-Ištar, Adida and Amur-Ištar from šalim-Aššur",akkadian-translation.csv,ana kurubistar ikupia suistar adida u amuristar qibima umma salimasurma
a-na kur-ub-IŠTAR i-ku-pì-a šu-IŠTAR a-d-í-da ù a-mur-IŠTAR qí-bi-ma um-ma ša-lim-a-šùr-ma,"To Kurub-Ištar, Ikūn-piya, Šu-Ištar, Adida and Amur-Ištar from Šalim-Aššur;",phucthaiv02_oa_sentences.csv,ana kurubistar ikupia suistar adida u amuristar qibima umma salimasurma
a-na Kur-ub-Ištar qí-bi-ma a-hi a-ta be-lí a-ta,specifically to Kurub-Ištar: My dear brother and lord,akkadian-translation.csv,ana kurubistar qibima ahi ata beli ata
a-na kur-ub-IŠTAR qí-bi-ma a-ḫi a-ta be-lí a-ta,"specifically to Kurub-Ištar: My dear brother and lord,",phucthaiv02_oa_sentences.csv,ana kurubistar qibima ahi ata beli ata
a-na Pì-lá-ah-Ištar qí-bi-ma,To Pilah-Ištar:,akkadian-translation.csv,ana pilaahistar qibima
a-na pì-lá-aḫ-IŠTAR qí-bi-ma,To Pilah-Ištar:,phucthaiv02_oa_sentences.csv,ana pilaahistar qibima
a-na ša ni-iš A-limki i-tù-a-ar,He is reopening a matter which has been sworn by the City.”,akkadian-translation.csv,ana sa niis alimki ituaar
a-na ša ni-iš a-lim(ki) i-tù-a-ar,He is reopening a matter that has been sworn by the City.,phucthaiv02_oa_sentences.csv,ana sa niis alimki ituaar
a-na ša-lim-A-šùr qí-bi-[ma] um-ma En-um-A-šur-ma,To šalim-Aššur from Ennam-Aššur:,akkadian-translation.csv,ana salimasur qibima umma enumasurma
a-na ša-lim-a-šùr qí-bi-ma um-ma en-um-a-šur-ma,To Šalim-Aššur from Ennam-Aššur:,phucthaiv02_oa_sentences.csv,ana salimasur qibima umma enumasurma
a-na ša-lim-A-šur qí-bi-ma um-ma ša-lim-A-šur-ma,To šalim-Aššur from šalim-Aššur:,akkadian-translation.csv,ana salimasur qibima umma salimasurma
a-na ša-lim-a-šur qí-bi-ma um-ma ša-lim-a-šur-ma,"To Šalim-Aššur, speak: thus Šalim-Aššur.",phucthaiv02_oa_sentences.csv,ana salimasur qibima umma salimasurma
a-na ša-pi-ri-ja qi-bi-ma,To my governor speak:,akkadian-translation.csv,ana sapirija qibima
a-na sa-pi-ri-ja qi-bi-ma,"To my lord, speak.",akkadian-translation.csv,ana sapirija qibima
a-na ší-bu-tí-a ú-lá té-i-li,you will not appear before court for my testimony,akkadian-translation.csv,ana sibutia ula teili
a-na si-bu-ti-a u-la te-i-li,You shall not appear for my testimony,akkadian-translation.csv,ana sibutia ula teili
a-na ši-mi-im GUSKIN i-za-az,There is gold available as means of payment,akkadian-translation.csv,ana simiim guskin izaaz
a-na si-mi-im GUSKIN i-za-az,gold is available as a means of payment,akkadian-translation.csv,ana simiim guskin izaaz
[a]-na su-lum a-bi-ia as-pu-ra-am,"I am writing for the well-being of my father,",akkadian-translation.csv,ana sulum abiia aspuraam
a-na su-lum a-bi-ia aš-pu-ra-am,I am writing for the well-being of my father.,akkadian-translation.csv,ana sulum abiia aspuraam
a-na su-ul-mi-ka as-pu-ra-am,I have written regarding your well-being.,akkadian-translation.csv,ana suulmika aspuraam
"[a-na ""su-ul-mi-ka aš-pu-ra-am]",I am writing to (inquire about) your well-being.,akkadian-translation.csv,ana suulmika aspuraam
a-na-kam A-ta-a-a a%-ba-at-ma um-ma a-na-ku-ma KÚ.BABBAR ša En-na-num ú-šé-bi4-lá-kà-ni KÚ.BABBAR dí-nam,I seized Atªya here and I said: “Give me the silver that Ennªnum sent to me (with) you.”,akkadian-translation.csv,anakam ataaa abaatma umma anakuma kubabbar sa ennanum usebi4lakani kubabbar dinam
a-na-kam A-ta-a-a a~-ba-at-ma um-ma a-na-ku-ma KU.BABBAR sa En-na-num u-se-bi4-la-ka-ni KU.BABBAR di-nam,"I seized Ataya here and said: ""The silver that Ennanum sent to me with you, give me that silver.""",akkadian-translation.csv,anakam ataaa abaatma umma anakuma kubabbar sa ennanum usebi4lakani kubabbar dinam
a-na-[kam me-er-ú] ša-lim-A-šùr i[m-hu-ru-ni-a-tí-]ma um-ma šu-nu-ma,Here the sons of šalim-Aššur confronted us and said:,akkadian-translation.csv,anakam meeru salimasur imhuruniatima umma sunuma
a-na-kam me-er-ú ša-lim-a-šùr im-ḫu-ru-ni-a-tí-ma um-ma šu-nu-ma,Here the sons of Šalim-Aššur confronted us and said:,phucthaiv02_oa_sentences.csv,anakam meeru salimasur imhuruniatima umma sunuma
a-na-/ku a-šé-e-kà ú-ul a-ta ta-šé-e-a-ni,"“It is I who am suing you, not you who are suing me.”",akkadian-translation.csv,anaku aseeka uul ata taseeani
a-na-ku a-šé-e-kà ú-ul a-ta ta-šé-e-a-ni,"""It is I who am suing you, not you who are suing me.""",phucthaiv02_oa_sentences.csv,anaku aseeka uul ata taseeani
a-ni-ša-am a-na na-pá-ší-im lá tù-ša-ra,don’t allow them to make trouble there!,akkadian-translation.csv,anisaam ana napasiim la tusara
a-ni-sa-am a-na na-pa-si-im la tù-sa-ra,Do not let (them) come here to complain.,akkadian-translation.csv,anisaam ana napasiim la tusara
AN.NA-ki ù TÚG.HI-tù-a iš-tù ILLAT-at DUMU A-ni-nim i-li-kà-ku-nu-tí,My tin and my textiles have come to you from the caravan of Anninum’s son.,akkadian-translation.csv,annaki u tughitua istu illatat dumu aninim ilikakunuti
AN.NA-ki ú TÚG.ḪI-tù-a iš-tù ILLAT-at DUMU a-ni-nim i-li-kà-ku-nu-tí,My tin and my textiles have come to you from the caravan of Anninum's son.,phucthaiv02_oa_sentences.csv,annaki u tughitua istu illatat dumu aninim ilikakunuti
a-pí-iš Ku-ku-ú-ma e-ra-ba-ni lu-šé-ri-ba-am,"and since Kuku is about to arrive, let him bring them in.",akkadian-translation.csv,apiis kukuuma erabani luseribaam
a-pí-iš ku-ku-ú-ma e-ra-ba-ni lu-šé-ri-ba-am,"Since Kukuwa is about to arrive, let him bring them in.",phucthaiv02_oa_sentences.csv,apiis kukuuma erabani luseribaam
a-pu-tum a-na a-wa-tim a-ni-a-tim lá ta-ša-lá-a,"Please, do not act superior in this matter!",akkadian-translation.csv,aputum ana awatim aniatim la tasalaa
a-pu-tum a-na a-wa-tim a-ni-a-tim lá ta-ša-lá-a#,"Urgent, do not act superior in this matter!",akkadian-translation.csv,aputum ana awatim aniatim la tasalaa
[a-p]u-tum šu-ma a-ma-kam a-tù-nu ša-tám iš-té-et sà-ah-ra-tù-nu,"Urgent, if you are delayed there for a single year",akkadian-translation.csv,aputum suma amakam atunu satam isteet saahratunu
a-pu-tum šu-ma a-ma-kam a-tù-nu ša-tám iš-té-et sà-aḫ-ra-tù-nu,Urgent: if you are delayed there for a single year.,phucthaiv02_oa_sentences.csv,aputum suma amakam atunu satam isteet saahratunu
a-šé-er DAM.GAR i-ra-dee,He will lead them to the merchant.,akkadian-translation.csv,aseer damgar iradee
a-šé-er DAM.GÀR i-ra-dee,He will conduct them to the merchant.,akkadian-translation.csv,aseer damgar iradee
aš-pu-ra-ak-ki-im-ma gi k i d ku-tu-um-mi û-ul tu-ša-bi-lim,"I have written to you, but you have not sent me the reed mats",akkadian-translation.csv,aspuraakkiimma gi k i d kutuummi uul tusabilim
"aš-pu-ra-ak-ki-im-ma gi k i d ku-tu-um-mi û-ul tu-""sa-bi-lim","I have written to you, but you have not sent me the reed mats.",akkadian-translation.csv,aspuraakkiimma gi k i d kutuummi uul tusabilim
as-pu-ra-kum um-ma a-na-ku-ma,I have written to you as follows:,akkadian-translation.csv,aspurakum umma anakuma
áš-pu-ra-kum um-ma a-na-ku-ma,"I wrote you, saying:",akkadian-translation.csv,aspurakum umma anakuma
as-sum gu4 sa aq-bi-a-kum a . sà-am ù-se-si-ma,"Concerning the ox about which I spoke to you, I have rented a field.",akkadian-translation.csv,assum gu4 sa aqbiakum a saam usesima
as-sum gu4 sa aq-bi-a-kum a . šà-am ù-se-si-ma,"Regarding the ox about which I spoke to you, I have rented a field.",akkadian-translation.csv,assum gu4 sa aqbiakum a saam usesima
as-sum te4 em é su-ul-mu-um,"Regarding the house, all is well.",akkadian-translation.csv,assum te4 em e suulmuum
[aš]-sum te4 em é su-ul-mu-um,"Regarding the matter of the house, there is well-being.",akkadian-translation.csv,assum te4 em e suulmuum
