src_orig,tgt
i-na ší-mì-im iṣ-ḫe-er-ma ší-tí KÙ.BABBAR-pì-šu 0.66666 ma-na LÁ 1 GÍN,He deducted it from the tithe and the remainder of his silver is 39 shekels.
ŠÀ.BA x ma-na 1.83334 GÍN ni-is-ḫa-sú ù ša-du-a-sú x-x-x-x al-qé 3,"Thereof, x minas and 1 5/6 shekels (of silver) is its excise, and his shipping charge, [...], I took."
GÍN x-x-x ki-ší-tum x 4.16666 GÍN,... 3 shekels (of silver?) the assets (?) ... 4 1/6 shekels ...
KIŠIB ú-ṣú-ur-ša-a-šur DUMU en-nam-a-a KIŠIB a-šur-i-mì-tí DUMU PUZUR₄.IŠTAR KIŠIB DINGIR-mu-ta-bi₄-il₅ DUMU a-zu-a-a,"Seals: Uṣur-ša-Aššur s. en-nam-a-a, Aššur-imitī s. Puzur-Ištar, Ilī-mutabbil s. Azua."
ša ḫu-bu-ul DINGIR-mu-ta-bi₄-il₅ DUMU a-zu-a-a 2,Regarding the debt of Ilī-mutabbil s. Azua.
ma-na KÙ.BABBAR ṣa-ru-pá-am i-ṣé-er DINGIR-mu-ta-bi₄-il₅ DUMU a-zu-a-a šu-IŠTAR i-šu,Ilī-mutabbil s. Azua owes Šū-Ištar 2 minas refined silver.
iš-tù ḫa-mu-uš-tim ša a-mur-IŠTAR DUMU da-mu-ma ITU.KAM ku-zal-li li-mu-um bu-zu-zu DUMU i-bi-ZU a-na 40 ḫa-am-ša-tim i-ša-qal,"He will pay 40 weeks from ḫamuštum of Amur-Ištar s. Damuma, month Kuzalli, eponymate Buzuzu s. Ibbi-Suen."
šu-ma i-na u₄-mu-šu ma-al-ú-tim KÙ.BABBAR lá iš-qú-ul a-na ma-na-im 1.5 GÌN.TA i-na ITU.1.KAM ṣí-ib-tám ú-ṣa-ab,"If he does not pay the silver at the fulfillment of his term, he will add 1 1/2 shekels per mina per month as interest."
um-ma šu-ḫu-bur ù me-er-ú a-šur-i-mì-tí-ma a-na bu-zu-ta-a pu-šu-ke-en₆ ù im-dí-DINGIR qí-bi-ma,"From Šū-Ḫubur and the sons of Aššur-imittī to Buzutāya, Pūšu-kēn and Imdī-ilum:"
ṭup-pá-am ša a-lim{ki} a-na i-ku-nim DUMU sá-ma-a a-na e-bu-bi-šu a-na-kam ni-il₅-qé-ma ṭup-pá-am ša a-lim{ki} PUZUR₄-ì-lí DUMU il₅-ba-ni ra-bi-iṣ-ni na-áš-a-ku-nu-tí,We received here the tablet of the city concerning Ikūnum son of Samāya and his clearing and Puzur-ilī son of Il-bāni our attorney brings the tablet of the city to you (pl.).
a-ma-kam i-na ša-ḫa-at PUZUR₄-ì-lí ra-bi-ṣí-ni i-zi-za-a-ma i-ku-nam a-na na-ru-qí-šu e-bi-ba-šu-ma ki-ma a-wi-lam tù-bi-ba-a-ni té-er-ta-ku-nu iš-tí a-li-ki-im pá-nim-ma li-li-kam-ma a-na-kam i-na mì-ma i-ku-num i-šu-ú-ni šál-ša-tí-šu lu né-mu-sú-ma lu ni-il₅-qé,"There, assist Puzur-ilī our attorney to clear Ikūnum concerning his "
ù ṭup-pu-šu ḫa-ar-ma-am ša ku-nu-ki-šu ša ki-ma e-bi-bu-ni li-qé-a-nim,"Also, take a sealed tablet with his seal from when they clear (him)."
0.83333 ma-na LÁ 1 GÍN KÙ.BABBAR li-tí i-ṣé-er šu-pì-ú-ma-an ú tal-ḫa-ma a-ší-tí-šu pè-ru-a ga-na-na um-mì-šu ú ší-mì-iš-ku-ni a-ší-tí-šu a-šur-ma-lik i-šu,"Šuppiuman and Talḫama his wife, Peruwa, Gana, his mother, and Šimiškuni, his wife, (all), owe Aššur-mālik 49 shekels quality silver."
iš-tù ḫa-mu-uš-tim ša šu-IŠTAR a-na 3 ḫa-am-ša-tim i-ša-qú-lu,They will pay three weeks from the ḫamuštum of Šū-Ištar.
šu-ma lá iš-qú-lu 3 GÍN-ta a ma-na-im ṣí-ib-tam i-na ITU.KAM ú-ṣú-bu,"If they do not pay (on time), they will add 3 shekels per mina per month as interest."
ITU.KAM ma-ḫu-ur-ì-lí,Month: Maḫḫur-ilī.
li-mu-um bu-zu-ta-a,Eponymate: Buzutaya.
IGI a-bi₄-a-a IGI ba-ar-wa-ma-da IGI be-lí-DUG,"Witnesses: Abīya, Barwamada, Bēlī-ṭāb."
um-ma ḫi-na-a-ma a-na qar-wi-a ù pu-šu-ke-en₆ qí-bi-ma,From Hinnaya to Qarwiya and Pūšu-kēn:
a-na KÙ.BABBAR ša AN.NA ša li-bi₄ e-lá-ma ù a-na 10 ma-na-e ša a-lim{ki} ša tám-qá-ar-kà x-x-x e-zi-ib iš x-x-x x-x x-x-x ki xxxx,Concerning the silver arising from tin which (was with?) Elama and concerning the 10 minas which ... of the merchant...
KÙ.BABBAR xxxxxxx ša iš-x xxxxx ša-áš-qí-lá,... silver ... which ... pay out.
xxxx šé-bi-lá-nim,(Seal it and) send it here.
a-na pu-šu-ke-en₆ qí-bi-ma 2,To Pūšu-kēn:
GÚ AN.NA 7.5 ma-na.TA mu-ta-tum wa-at-ra pá-ni-um ù 4 GÚ 10 ma-na.TA mu-ta-tum wa-at-ra ša šé-ep PUZUR₄.IŠTAR ub-lá-ku-ni a-ḫi a-ta té-er-tí-kà lí-lí-ik,"(Concerning) the two talents of tin at a rate of 7.5 minas losses added earlier and 4 talents at 10 minas rate losses included which Puzur-Ištar's transport brought to you, my dear brother, let your message come."
i-na x GÚ x ma-na AN.NA tù-šé-bi-lu x ma-na KÙ.BABBAR ku-nu-uk-ma šé-bi₄-lam,"From the x talents (x minas) tin which you sent, seal x minas silver and send it here."
40 ma-na … URUDU i-ṣé-er ku-za-ri sú-en₆-na-da i-šu,Kuzāri owes Suen-nādā 40 minas copper.
iš-tù ḫa-mu-uš-tim ša ḫu-ra-ṣa-nim a-na 10 ma-na URUDU 1 ma-na.TA i-na ITU ú-ṣa-áb,He will add 1 mina per 10 minas copper per month (as interest) from the week of Ḫuraṣānum.
iš-tù ITU ṣí-bi-bi-ri-im li-mu-um ša qá-tí i-dí-a-šur DUMU ku-bi-dí IGI bur-nu-nu DUMU a-sá-a IGI šu-a-šùr DUMU šu-sú-en₆,"From the month of Zibiburum, eponymate after Idī-Aššur s. Kūbi-idī."
a-na pu-šu-ke-en₆ ù e-na-a-šùr qí-bi-ma um-ma ḫu-sà-ru-um-ma,To Pūšu-kēn and Ennam-Aššur from Ḫuṣārum:
AN.NA ù TÚG.ḪI.A ša šé-ep a-al-DUG ša me-eḫ-ri ša lu-qú-tim šu-ku-bu-um na-áš-a-ku-ni a-bi a-ta a-ma-kam ma-la AN.NA ù TÚG.ḪI.A iz-ku-ú-ni a-ta ù e-na-a-šur ba-tí-iq ù wa-tur₄ dí-na-ma i-na pá-nim-ma KÙ.BABBAR šé-bi₄-lá-nim,"Regarding the tin and textiles of the šēpum of Āl-ṭāb which the corresponding amount of the goods which Šū-Kūbum brought to you, my dear father, you and Ennam-Aššur sell there as much tin as they clear, cheap or dear and send the silver to me as soon as possible."
ù šu-ku-ba-am ṭù-ur-da-ni-šu,"Also, send back Šū-Kūbum."
šu-ma AN.NA ù TÚG.ḪI.A ta-ad-nu KÙ.BABBAR ku-un-kà-ma šé-bi-lá-nim,"If the tin and textiles are sold, seal the silver and send it to me."
šu-ma ší-mu-um a-ma-kam ba-tí-iq a-na bu-ru-uš-ḫa-dum lu-qú-tí le-tí-iq-ma KÙ.BABBAR 1 ma-na le-li-a-am,"If the prices there are deflated, let my goods go on to Purušḫattum so that they may raise every mina possible."
0.33333 ma-na LÁ 1 GÍN KÙ.BABBAR i-ṣé-er {d}IŠKUR.GAL DUMU a-šur-ma-lik lá-qé-pu-um i-šu,Adad-rabi s. Aššur-mālik owes Lā-qēpum 19 shekels silver.
a-na ITU.2.KAM i-ša-qal,He will pay in two months. 
šu-ma lá iš-qú-ul ki-ma a-wa-at kà-ri-im ṣí-ib-tám ú-ṣa-áb,"If he does not pay (on time), he will add the colony rate as interest."
ITU.1.KAM ša sá-ra-tim,Month: Ša sarrātim.
li-mu-um ša qá-tí sí-in-iš-me-a-ni,Eponymate: after Suen-išmeanni.
IGI a-šur-GAL DUMU a-da-da IGI a-šur-mì-tí DUMU šu-IŠTAR,"Witnesses: Aššur-rabi s. Adada, Aššur-imittī s. Šū-Ištar."
2.33333 ma-na 5 GÍN KÙ.BABBAR ṣa-ru-pá-am i-ṣé-er a-ba-tim ù ku-ki-ni-im me-er-i-šu a-ḫu-qar i-šu,Abatim and ku-ki-ni-im his son owe Aḫu-waqar 2 minas 25 shekels refined silver.
iš-tù ḫa-muš-tim ša qá-tí {d}MAR.TU-ba-ni ù a-šur-na-da a-na 8 ḫa-am-ša-tim i-ša-qal šu-ma lá iš-qú-ul,He will pay 8 weeks from the ḫamuštum after Amurrum-bāni and Aššur-nādā.
i ITU.KAM a-na 1 ma-na-im 1.5 GÍN.TA ṣí-ib-tám ú-ṣa-áb,"If he does not pay (on time), he will add 1 1/2 shekels per mina per month as interest."
ITU.KAM ṣí-ip-im li-mu-um a-šur-na-da DUMU PÚZUR-a-na IGI a-šur-iš-ta-kál IGI {d}IŠKUR.ILLAT IGI en-um-a-šur,Month: Ṣipʾem.
um-ma a-šùr-i-dí-ma a-na a-šùr-na-da qí-bi₄-ma,From Aššur-idī to Aššur-nādā:
ta-li-kam-ma a-dí 5-ší-šu ù šé-ší-šu tù-pá-šé-er ù kà-ki ša a-šùr ù a-šu-ri-tim im-ḫu-ṣú-kà-ma ù tù-pá-šé-er um-ma a-ta-ma i-na ṣé-ri-šu le-mu-ru ša a-wa-at ì-lí a-na ša ta-ni-iš-tim i-ša-ku-nu a-dí-ni lá tù-ṣí ṣú-ḫu-ur-kà a-na ú-ri-im kà-šu-ud tù-lá-kà i-a-tí ta-áš-ḫu-ut-ma ú i-na ri-im ṣú-ùḫ-ri-ma a-zu-áb a-šùr ù a-šu-ri-tum uš-ta-na-ú-du-kà um-ma šu-nu-ma lá-am-na-tim i-na li-bi₄-šu e-ta-wu li-bu-šu lá iš-ru-ni-ku-um qá-sú na-ba-al-ku-ta-at kà-lá a-wa-tim ša ì-lí e-ta-wu-ni-ku-um a-wa-tim ša be-tí-ni a-dí a-sú-ri-ma ta-am-tí-ší um-ma DINGIR-lu-ma a-wa-tí-ni ú-lá im-tù-a a-pu-tum a-wa-at ì-lí ú-ṣú-ur šu-ma lá ta-ṣú-ur ta-ḫa-li-iq i-na pá-ni-tim lu-mu-un li-bi₄-a ma-ad ù li-ba-kà i-de₈ um-ma a-na-ku-ma ù-um-šu-ma ṣa-ḫe-er ù a-wa-at ì-lí iš-té-me li-ba-kà lá ú-la-mì-in,After you came here you have broken your promises five or six times!
KIŠIB a-šur-mu-ta-bi-il₅ DUMU šu-be-lim KIŠIB bu-za-zu DUMU šu-sú-en₆ KIŠIB en-nam-a-šur DUMU šu-ki-tim 0.33333,"Seals of Aššur-mutabbil s. Šū-Bēlim, Buzazu s. Šū-Suen, Ennam-Aššur s. Šukkutum"
ma-na 0.5 GÍN KÙ.BABBAR ṣa-ru-pá-am i-ṣé-er en-nam-a-šur DUMU šu-ki-tim a-gi-a i-šu,Ennam-Aššur s. Šukkutum owes Agia 1/3 minas 1/2 shekels refined silver.
iš-tù ḫa-mu-uš-tim ša im-dí-lim ù a-ni-a-nim 0.66666 GÍN 15 ŠE KÙ.BABBAR i-na ITU.KAM ṣí-ib-tám ú-ṣa-áb,He will add 2/3 shekels 15 grains silver (per mina) per month as interest from the ḫamuštim of Imdī-ilim and Anianum.
ITU.KAM ma-ḫu-ri-lu,Month: Maḫḫur ilī
li-mu-um bu-zu-zu a-li ni-na-mu-ru KÙ.BABBAR ù ṣí-ba-sú i-ša-qá-lam,Eponymate: Buzuzu
um-ma ša-lim-a-ḫu-um-ma a-na pu-šu-ke-en₆ qí-bi₄-ma,From Šalim-aḫum to Pūšu-kēn:
a-šu-mì ša {d}NIN.ŠUBUR-ba-ni a-na 29 ma-na KÙ.BABBAR-pì-šu 8 ma-na KÙ a ší-ip-kà-tim ša DUMU a-lá-ḫi-im áš-qúl 12.5,"Concerning the matter of Ilabrat-bāni, as for the 29 minas of his silver, I weighed out 8 minas silver for a pouring of the son of Al-āḫum."
ma-na a-na um-mì-šu a-ḫa-tí-šu ù ša ki-ma šu-a-tí 17 ma-na a-na ša ki-ma ku-a-tí ša ta-áš-pu-ra-ni-ni áš-qú-ul 1 GÚ 10 ma-na AN.NA 2 TÚG.ḪI ANŠE ṣa-lá-mì-im,"I gave 12 1/2 minas to his mother, his sister, and his representatives (and) 17 minas to your representatives about which you wrote."
dan-a-šur i-ra-de₈-šu-um 5.33333 ma-na 5 GÍN,"Dān-Aššur will drive to him 1 talent 10 minas tin, 2 textiles, (and) a black donkey."
KÙ.BABBAR ni-iš-qú-ul xx 0.5,We paid 5 minas 25 shekels silver (for that merchandise).
ma-na a té-ṣú-pè ša KÙ.BABBAR-pì-šu,(And paid) 1/2 mina for 'additional expenses' of his silver.
a ša be-ú-lá-tim e-ri-i-kà,He requested silver from you for management.
šé-zi-ib-šu-ma ší-tí KÙ.BABBAR-pì-a li-iš-qú-lá-kum AN.NA-ki ù TÚG.ḪI-a ša ta-qí-pu-šu,Reject him and so that he pays you the remainder of my silver!
i-nu-mì-šu-ma KÙ.BABBAR iš-qú-ul,"As for my tin and my textiles which you entrusted to him, When it is him(?) he paid the silver."
a-ma lu gi₅-mì-li,"Now, let it be a favor to me!"
a-šar KÙ.BABBAR-áp-šu a-ta-dí-nu ša-tí-ša šu-ta-al-mu-na-ku,"Every year I have given him silver, I am embroiled in arguments."
ma-nu-um ša a-na-kam a-na ṣí-ib-tim i-ta-dí-nu-ma KÙ.BABBAR ni-il₅-qé-ú,Who amoung us here (in Aššur) have sold him tin on interest and got (our) silver?
ù ri-iḫ-tí KÙ.BABBAR-pì-šu ṭup-pu-um iš-té-en₆ ú šé-na ša DAM.GÀR-ri i-ba-ší,"Now, as for the rest of his silver, there is a tablet or two of a merchant."
qá-tum sú-ri eṣ-lá-at,The hand is indeed quite slack.
25 ma-na KÙ.BABBAR ú ša-du-a-sú a bu-zu-ta-a ú im-dí-lim IGI a-šùr-i-mì-tí IGI e-nu-be-lim IGI a-mur-a-šùr pu-šu-ke-en₆ ip-qí-du-ni-a-tí-ni-ni a-na en-um-a-šùr DUMU ša-lim-a-ḫi-im ma-aḫ-ri-šu-nu-ma ni-ip-qí-sú-um,"We entrusted to Ennam-Aššur son of Šalim-aḫum the 25 minas silver and its shipping charge which Pūšu-kēn entrusted to Buzutaya and Imdī-ilum (i.e. us?) in the presence of Aššūr-imittī, Ennum-Bēlum, and Amur-Aššur."
a-na PUZUR₄-a-šùr qí-bi-ma um-ma il₅-we-da-ku-ma,To Puzur-Aššur from Ilī-wēdāku:
a-dí AN.NA ša i-dí-na-bi-im ša ta-áš-pu-ra-ni ki-ma e-bu-ur-šu-nu-ni ù ší-mu-um qá-sú AN.NA pá-ṭá-ra-am lá a-mu-a a-dí 5 u₄-me e-bu-ur-šu-nu ú-šé-ru-bu-ma AN.NA a-lá-qé-ma a-na KÙ.BABBAR ù KÙ.KI ú-ta-ar-ma ší-im AN.NA-šu ú-šé-ba-lá-šu-um mì-ma li-bu-šu e il₅-mì-in ki-ma ku-wa-tám i pu-šu a-na-ḫi-id-ma KÙ.BABBAR 1 GÍN ú-šé-lá-šu-um i-na a-wa-tí-a ba-ta-qí-im a-wa-tám iš-té-te lu-qá-ri-ib-ma lu a-bu-um i-a-tí,"Regarding the tin of Iddin-abum about which you wrote, becasue it was(the time of?) their harvest and (becasue of) the price of his share, I did not want to open the tin."
a-na pu-šu-ke-en₆ qí-bi-ma um-ma šu-ku-bu-um-ma,To Pūšu-kēn from Šū-Kūbum:
a-ḫu-ú-a a-tù-nu qá-tí a-ṣé-er ša i-na-a i-ta-dí-ú-ni ù a-tù-nu i me-ší-tí-a qá-tí i-ta-dí-a,"My dear brothers, my share in addition to that of Innāya which they deposited--you yourselves deposit my share from my "
mì-ma e a-pu-ul-ma li-bi₄ e im-ra-aṣ,Do not pay out anything and so disappoint me.
lu-qú-tí a-šar ba-lá-ṭí-a dí-na-ma KÙ áb-kà-nim,Sell my merchandise wherever it is profitable and send off the silver to me.  
ù KÙ.BABBAR ša KI e-me-me mì-šu-um a-dí u₄-mì-im a-nim lá tù-šé-bi₄-lá-nim,"Now, as for the silver owed by Ememe, why have you not sent it to me until this day?"
ù DUMU ib-ni-lí za-ki-a-ma šu-up-ra-nim,"Also, clear the son of Ibnili and send me a message."
mì-šu … ša um-ma na-áb-sú-en-ma šu-ku-bu-um KÙ-pì il₅-qé,"Why is it that Nab-Suen said, “Šū-Kūbum took my silver.”"
ki-ma a-lim{ki} qá-tám ša-kà-nim ú-ṭá-bi₄-ú,"Instead of laying claim in the city, I dropped the matter."
KÙ.BABBAR ša ki-li-a qá-tí na-áb-sú-en ša-ak-na-at-ni a-dí ki-li-a i-li-kà-ni KÙ i-bi-ší-ma ki-li-a i-li-kà,"Now, the silver which Kiliya(?) set in the share of Nab-Suen—until Kiliya camethe silver was available, then Kiliya came. "
um-ma ki-li-a-ma a ša ki-ma na-áb-sú-en šu-ma qá-at-ku-nu ta-ša-kà-na a-na a-lim{ki} lá-li-ik,"Kiliya said to the representatives of Nab-Suen, “If you make a claim, I will go to the city (assembly).”"
KÙ ki-li-a il₅-té-qé,Kiliya took the silver.
ú ṭup-pá-am ša ki-li-a ḫa-ar-mu,"Now, they sealed Saliya’s tablet. (???)"
a-na-ku mì-ma lá al-qé,I didn’t receive anything.
um-ma a-šùr-i-dí-ma a-na a-šùr-na-da ù a-šùr-ta-ak-la-ku qí-bi-ma 2,From Aššur-idī to Aššur-nādā and Aššur-taklāku:
GÚ 10 ma-na AN.NA ku-nu-ku 2 ANŠE.ḪI.A ṣa-la-mu 30 {TÚG}ku-ta-nu 4 TÚG šu-ru-tum kà-áb-tù-tum ša li-wi-tim 17 ma-na AN.NA a qá-tí-šu a-dí-in 1 TÚG ra-qú-tum 1 TÚG ša ta-tur₄-a-li-ša 1 TÚG ša DINGIR-šu-GAL mì-ma a-nim LUGAL={d}IŠKUR un-la-ku-nu-tí,"2 talents 10 minas of tin under seal, 2 black donkeys, 30"
a-na a-šur-ta-ak-la-ku qí-bi-ma lu-qú-tám a-ni-tám za-ki-ma šu-ma a-ḫi a-ta i-na iš-té-en₆ a-li-ki-im KÙ.BABBAR šé-bi-lam,"To Aššur-taklāku: Clear these goods (with the palace), and, as you are my brother, send me silver with the very first caravan."
li-bi la tù-la-ma-an,Do not make me angry!
i-ḫi-id me-eḫ-ra-tim i-na ra-mi-ni-kà šé-bi-lam 26,Take care to send me the corresponding amount out of your own funds.
{TÚG}ku-ta-nu 1 ANŠE ṣa-la-mu-um 5 ma-na AN.NA i-a-ú-tum mì-ma a-nim šu-nu-nu ub-la-ku-nu-tí 2,26
GÚ 11 ma-na AN.NA ku-nu-ku 35 {TÚG}ku-ta-nu 2 ANŠE ṣa-la-mu 6 ma-na AN.NA ù 0.83333 ma-na KÙ.BABBAR a qá-tí-šu mì-ma a-nim i-a-um kur-ub-IŠTAR na-áš-a-ku-nu-tí,"2 talents 10 minas of tin under seal, 35"
AN.NA ù TÚG.ḪI.A ma-la i-na É.GAL-lim i-za-ku-a-ni a-na a-šur-ta-ak-la-ku dí-in šu-ma a-šur-ta-ak-la-ku la-šu a-šar wa-áš-bu šé-bi-il₅,"Give the tin and the textiles, as many as are cleared in the palace, to Assur-taklaku;"
lu-qú-tum ma-la iz-ku-a-ni ṭup-pá-am šé-bi-lam,Send me a letter about the goods that are cleared.
a-na a-šur-ta-ak-la-ku qí-bi-ma i-na bu-ru-uš-ḫa-dum kà-ra-am la tù-ša-áb i-nu-mì té-ru-bu a-la-an 10 u₄-me la tù-ša-áb,"To Assur-taklaku: In Burushaddum you should not stay in the colony; when you arrive, do not stay more than 10 days."
ṣaₓ-ḫa-ra-tim la e-ri-iš za-ki-a-ma ra-ma-ku-nu a-tal-kà-nim,Ask for the girls; clear yourselves and set out to come here personally.
a-na a-lá-ḫi-im e-me-me ù a-šùr-ta-ak-lá-ku qí-bi₄-ma um-ma a-šur-na-da-ma,"To Alāhum, Ememe and Aššur-taklāku from Aššur-nādā:"
a-ša-me-ma DUMU gi-ri-a a-na a-lim{ki} i-ta-lá-ak,I hear that Ṣiriā's son has left for the City.
mì-šu ṣú-ḫa-ru-ša ša-lim-a-šur ù a-li-ku a-dí šé-ni-šu i-li-ku-ni-ma té-er-ta-ak-nu-ma lá i-li-kà-ni,"Why is it that Šalim-Aššur's servants and other travellers have come here twice, but no message from you has arrived?"
am-tám ša-lá-ma ú-ṭù-tum ma-lá e-ru-bu,Ask the maid how much grain has come in.
té-er-ta-ak-nu li-li-kam,Send me word.
šu-ma še-am ta-ḫa-ša-aḫ ša KÙ.BABBAR 0.5 ma-na ša-ma-ší-im,"If you wish to have barley, then buy for up to 1/2 mina of silver."
KÙ.BABBAR ma-lá iš-tù tur₄-ḫu-mì-it ú a-na-nu-um i-li-kà-ku-nu-tí-ni a-šar ta-pá-qí-dá-ni ITU.KAM ša uṣ-ú-ni té-er-ta-ak-nu li-li-kam,"Send me word about every single shekel of silver which has accrued to you both from Durhumit and from here, where you will entrust it and the month in which it left your hands."
ni-ni ù ḫu-lu-ba im-ta-šu-ḫu-ni-ma qá-ar-ni Ì.GIŠ DUG.GA ma-li-a-am,"Ninni and Huluba have robbed me, so fill my horn with good quality oil."
KIŠIB DUG-ṣí-lá-a-šùr DUMU šu-nu-nu KIŠIB šu-lá-ba-an DUMU a-al-DUG KIŠIB pí-lá-aḫ-IŠTAR DUMU a-šùr-ba-ni KIŠIB a-ni-na DUMU ú-ṣur-ša-a-šùr KIŠIB i-dí-a-bi₄-im DUMU a-šùr-ma-lik KIŠIB sú-e-a DUMU pu-šu-ke-en₆ KIŠIB bu-za-zu DUMU pu-šu-ke-en₆ KIŠIB i-ku-pá-ša DUMU pu-šu-ke-en₆ KIŠIB a-ḫa-ḫa DUMU.SAL pu-šu-ke-en₆ 40 ma-na KÙ.BABBAR ša i-ku-pí-a DUMU a-ta-a i-na kà-ni-iš{ki} a-na pu-šu-ke-en₆ i-ḫi-ib-lu-ma a-šùr-mu-ta-bíl ù bé-lá-nu-um ra-bi-ṣú-um KÙ.BABBAR il₅-qé-ú-ni,"Seal of Ṭāb-ṣilla-Aššur son of Šū-Nunu, seal of Šū-Laban son of Āl-ṭāb, seal of Pilaḫ-Ištar son of Aššur-bāni, seal of Anina son of Uṣur-ša-Aššur, seal of Idī-abum son of Aššur-mālik, seal of Sueyya son of Pūšu-kēn, seal of Buzāzu son of Pūšu-kēn, seal of Ikūppaša son of Pūšu-kēn, seal of Aḫaḫa daugher of Pūšu-kēn."
a-na KÙ.BABBAR šu-a-tí me-er-ú pu-šu-ke-en₆ ù DUMU.SAL pu-šu-ke-en₆ NIN.DINGIR a-na a-šùr-mu-ta-bi-il₅ a-ḫi-šu-nu ú-lá i-tù-ru,"The sons of Pūšu-kēn and the daughter of Pūšu-kēn, the ugbābtum-priestess, will not return to (did not return to?) their brother Aššur mutabbil for the silver--the 40 minas silver which Ikūppiya son of Attaya owed to Pūšu-kēn in Kaneš and Aššur-mutabbil and which Bēlānum the attorney received."
ú i-na e-lá-i-šu i-na kà-ni-iš{ki} ṭup-pá-am ša ḫu-bu-ul i-ku-pí-a DUMU a-ta-a me-er-ú pu-šu-ke-en₆ ù DUMU.SAL pu-šu-ke-en₆ NIN.DINGIR a-na a-šur-mu-ta-bi-il₅ i-du-nu,"Now, right at his ascent to Kanesh, the sons of Pūš-kēn and the daughter of Pūšu-kēn, the ugbābtum-priestess, will give the tablet stating the debt of Ikūppiya son of Attaya to Aššur-mutabbil."
