tablet_id,transliteration,translation
11. Kt 91/k 444 (1-297-91),15 ma-na KÙ.B. ni-is-ha-sú DIRI ša-du-a-sú ša-bu ku-nu-ki-a a-na {d}IŠKUR-pì-lá-ah DUMU A-ni-nim áp-qí-id IGI 'u-IŠtar DUMU 'u-ki-tim IGI A-šur-ma-lik DUMU 'a-ba-ha-nim,"shekels of silver its excise added, his transport fee paid, under my seal I entrusted to Adad-pilah, son of Anṣnum. In the presence of ēukutum (and) of AŠšur-mālik, son of ēabahānum."
12. Kt 91/k 481 (1-334-91),ma-na KÙ.B. ṣa-ru-pu-um GÍN KÙ.B. šé-bu-ul-tù-šu GÍN šé-bu-ul-ta-ša GÍN a-na A-šur-re-ṣí,"mina of refined silver, 1 shekel of silver, 3 shekels of silver, her 3 shekels for AŠšur-rṭ(ṣ,"
13. Kt 91/k 309 (1-166-91),15 ma-na KÙ.B. ni-is-⌈ha⌉-sú DIRI ša-du-a-sú ša-bu a-na I-na-ah-⌈DINGIR⌉ a-dí-in 2 ma-na KÙ.B. a-na ú-ṭí-tim ša-páʾ(BE)-ki-im a-dí-šu-um ( ma-na KÙ.B. ta-ad-mì-iq-ta-ša 2 GÍN KÙ.B. šé-bu-ul-/ta-ša ša Um-mì-IŠ-ha-ra 13' GÍN KÙ.B. ta-ad-mì-iq-tù-šu š[a] *[B]e-lá-nim ⌈2⌉* [GÍN š]é-bu-ul-tum ša *Puz<ur₄>?-lá-áb-ra-at mì-ma KÙ.B. a-nim ni-is-ha-sú DIRIG ša-du-a-sú ša-bu I-na-ah-DINGIR ú-bi₄-il₅,"minas of silver the excise on it extra, his transport fee paid, I gave to +nah-ilṣ. 2 minas of silver for storing barley I gave him. ' mina of silver (from) her free loan, 2 shekels of silver a shipment for Ummṣ-IŠhara. 13 ' shekels of silver, his free loan for BŠlānum. 2 shekels a gift for Puzur?-Ilabrat. All this silver, the excise on it extra, his transport-fee paid +nah-ilṣ has brought away.."
14. Kt 91/k 409 (1-262-91),ma-na KÙ.B ṣa-ru-pá-⌈am⌉ ma-na KÙ.B TÚG E-lá-ma,"minas of refined silver, 10 minas of silver, 12 textiles Elamma"
15. Kt 91/k 392,KIŠIB 'u-Ku-bi-im DUMU Qá-a-tim KIŠIB En-nam-A-šur DUMU Ú-ṣa-ri-/a KIŠIB 'u-IŠtar DUMU Da-da-/nim KIŠIB A-<<lá>>-šur-lá-ma-sí ša 1 me-at 5 TÚG ku-ta-nu Šupside down) 4 GÚ 20 ma-na AN.NA ku-nu-ki 40 ma-na AN.NA qá-/tim 13 TÚG šu-ru-tum qá-dum ša li-wi-tim 6 ANŠE 4 TÚG ku-ta-ni ša kà-ṣa-re 1 TÚG ku-ta-nu ša Ì-lí-a Šupside down) mì-ma a-nim a-na Lá-qé-pí-im ni-ip-qí-/id,"Seal of ēu-KŠbum, son of Qa’atum, seal of Ennam-AŠšur, son of U(āriya, seal of ēu-IŠtar, son of Dadānum, seal of AŠšur-lamassṣ, concerning 105 kutšnu-textiles, 4 talents 20 minas of tin under seals, 40 minas of loose tin, 13 dark textiles, including those for wrapping, 6 donkeys, 4 kutšnu-textiles of the transporters, 1 kutšnu-textile of Iliya - all this we entrusted to Lā-qṭpum."
16. Kt 91/k 350,ma-na KÙ.B.,you have indeed borrowed
17. Kt 91/k 352 (1-209-91),ma-na KÙ.B. ni-is-ha-sú GÍN KÙ.GI ni-is-ha-sú DIRI Šerased; still visible: A-šùr-i-mì-tí) Šerased; end still visible: ku-um) ma-na KÙ.B. er-ša-šu-ma ša li-/bi₄-šu,"“15 minas of silver, its excise 15 shekels of gold, its excise added, for the 1 mina of silver he still owes"
18. Kt 91/k 530 (1-383-91),ma-na KÙ.B. ṣa-ru-pá-am,ŠDān-AŠšur is on his way to you
19. Kt 91/k 357 (1-214-91),ma-na 12 GÍN KÙ.B. I-dí-IŠtar [ Ku-ni-lim GÍN 22( ŠE KÙ.B. ni-pu-ul-šum GÍN KÙ.B. 1 ma-na AN.NA GÍN KÙ.B. a-sí-pá-ra-tim [Hi-na-a ik-nu-uk-/ma,“7 minas 12 shekels of silver Iddin-IŠtar [ KŠn-ilum. him 4. shekels of silver. 11 shekels of silver (and) 1 mina of tin 5 shekels of silver for siparštum [ transporter of Hinnāya.
20. Kt 92/k 145 (1-105-92),i-ba-ší li-li-ik [ Ì-lí-ba-ni ša-áš-qí-il₅-<šu>,"take place, do not leave [ Ilṣ-bāni,"
21. Kt 92/k 148,ma-na šu-qú-ul-ta-šu-nu na-am-gu₅-ra-ku šu-ma,"weighing 40 minas, with the colony. If the textiles"
22. Kt 91/k 303,a-na E-lá-ma qí-bi₄-ma um-ma A-šùr-ma-lik-ma KÙ.B. ša tù-šé-bi₄-lá-ni ù ṭup-pè-kà a-na ma-lá té-er-tí-⌈kà⌉ a-na A-lim{ki} uš-té-bi₄-il₅ a-šu-mì *K[Ù.B.] ša É kà-ri-im ša ⌈a⌉-[na] Lá-qé-pì-im tù-šé-bi₄-l[u] KÙ.B. a-na Lá-li-im a-[dí-i]n? a-ṣé-er KÙ.B. ù 5 TÚG š[a] [a]*-⌈dì⌉-ú-ma i-na KÙ.B-áp [Lá-qé]-pì-im-ma i-ší-qí-il₅ [K]Ù.B.?-kà a-na Lá-qé-pì-im [li?-l]i-ik-ma i-na [ga?]-ma-ar KÙ.B. šu-um-kà i-na É kà-ri-im lu ni-il₅-pu-ut a-šu-mì KÙ.B. ša A-mur-IŠtar ša a-na Lá-qé- ù ku-a-tí ha-bu-lu [ pì-/im té-er-tí Lá-qé-pì-im a-ṣé-er Lá-li-im ù ku-a-tí i-li-kam-/ma [u]m-ma šu-ut-ma u₄-me : ṣa-áb-ta-ma ma-⌈lá⌉ e-tí-qú-ni 1 GÍN.TA ⌈a⌉-ma-na-im ší-sí-a-ma KÙ.B. [ù ṣ]í-ba-sú ša-áš-qí-lá-šu a-wa-t[ám] [a?]-šu-mì ni-a-tí mì-li-ik [KÙ].B-pì-kà mì-li-ik TÚG.HI.A [ma]-lá Be-lúm-ba-ni e-zi-ba-ku-ni [ba]-tí-iq ù wa-tù-ur ⌈i-na⌉ ni-a-ú-tim-ma : ma-na-im URUDU [ x -x⌉*-us-ma dí-in lá i-na-dí-ú KÙ.B. Šnot inscribed),"Say to Elamma, thus AŠšur-mālik: ŠThe silver you sent me and your tablets I have now sent to the City following your instruction. As for the silver of the colonial office that you sent for Lā-qṭpum, I gave that silver to Lalum. In additon to that silver and the 5 textiles that I deposited, silver has been paid from Lā-qṭpum’s silver. Let your silver go to Lā-qṭpum and then, when the silver is spent we will register it in your name in the colonial office. As for the silver of Amur-IŠtar, which he owes to Lā-qṭpum and to you, there came a message of Lā-qṭpum, addressed to Lalum and you, in which he said: ‘Seize Šhim for) the days he is overdue and claim Šan interest of) 1 shekel per mina and make him pay the silver and the interest on it’. In his matter you must decide on behalf of us what to do with your silver. Sell all the textiles that BŠlum-bāni left behind for you at any price, ........ for copper by our own 1-mina-weight. It must not be stocked; the silver ....”"
23. Kt 91/k 354 (1-211-91),TÚG a-ta tù-ma-li TÚG Ú-ṣú-ur-ša-IŠtar DUMU A-šur-i-mì-tí TÚG-tí-šu kà-ṣa-ru-um il₅-qé ku-ta-ni Be-lúm-ba-ni TÚG a-na ni-is-ha-tim TÚG šu-ru-tim e-zi-ib ša li-wi-/tim ma-na AN.NA ú-ma-li-ú-šu-um,"you made good 1 textile, 1 textile U(ur-ša-AŠšur, AŠšur-imittṣ’s son, The harnesser took his 2 textiles, 31 textiles BŠlum-bāni brought you. 3 textiles as import-tax, 21 dark textiles, apart those for wrapping, compensated him 1 mina of tin."
24. Kt 92/k 156 (1-116-92),a-na E-lá-[ma] qí-bi-m[a um-ma x x x] ù A-šur-⌈ma?⌉-[lik-ma] 4 GÚ AN.NA [ku-nu-ki ša] a-lim{ki} ⌈ú⌉ [x ku-ta-ni ELLAT]? La-qé-pí-im [ub-lam] ŠÀ.BA 17( m[a-na] AN.NA lá [ku-nu-ki? (ù)] 5 ku-ta-nu ⌈i-na] É.GAL-lim lá-qé-[ú] ki-ma té-er-t[a-kà lá-šu-ni?] i-pì-kà a-na *x / x x um-ma a-ta-ma AN.NA i-ṣé-er DAM.GÀR-ri-im li-dí-šu *⌈x⌉ [ x x] Šnot inscribed),"To Elamma, say, thus [.............] and AŠšur-m[ālik?]: “4 talents of tin [with seals applied] in the City and [x kutšnu-textiles]? Lā-qṭpum’s [caravan brought here]. Thereof: 17' minas of tin without [seals (and)] 5 kutšnu-textiles were taken in the palace. For lack of a written instruction of yours, on the basis of what you said to ...............: ŠLet him entrust the tin to an agent ...........”"
25. Kt 92/k 160A/B (1-120-92),"[A]-⌈šur-lá-ma-s⌉[í] / DUMU Aʾ-da-[.....],","but was owned by AŠšur-mštappil, the writer"
26. Kt 91/k 356,ku-ta-ni ub-lu-nim um-ma ma-na KÙ.GI na-dí-in-/šum KÙ.B. 1 GÍN,"they brought me 75 kutšnu-textiles. of gold have been given, every shekel of silver he carries belongs"
27. Kt 91/k 307 (1-164-91),ma-na KÙ.B. É tám-kà-ri-im,we borrowed for you at interest 30 minas of
28. Kt 91/k 315 (1-172-91),⌈a-na⌉ E-lá-ma ù Kur-ub-IŠtar qí-bi₄-ma um-ma E-na-ah-DINGIR-ma 4 GÚ 20 ma-na AN.NA ku-nu-/ku 72 ku-ta-nu qá-dum ša li-wi-/tim 4 ANŠE ṣa-lá-mu 30 LÁ ) ma-na AN.NA qá-tim mì-ma a-nim a-ra-de₈-a-ku-nu-tí 14 LÁ * GÍN.<TA> AN.NA-ku-nu ša-im AN.NA-ku wa-aq-/ru 2 ma-na KÙ.B. a-pá-/ni-a šé-bi₄-lá-nim a-na E-lá-ma qí-bi₄-ma 1 me-at 60 ku-ta-nu 7 ANŠE ṣa-lá-mu a-ra-de₈-a-kum A-bu-ša-lim iš-tí-a i-lá-ak [ú] sà-he-er-tám ⌈ša⌉ KÙ.B. 10 GÍN ⌈šé⌉-bi₄-lá-nim,"Say to Elamma and Kurub-IŠtar, thus +nah-ilṣ: “4 talents 20 minas of tin under seals, 72 kutšnu-textiles, including those for wrapping, 4 black donkeys, 29* minas of loose tin - all this I am leading to you. Your tin was bought at a rate of 13) (shekels) per Šshekel silver). Tin is expensive, send 2 minas of silver to reach me en routeš. Say to Elamma: “160 kutšnu-textiles, 7 black donkeys, I aqm leading will lead to you; Abu-šalim travels with me. Send me also small wares for a value of 10 shekels of silver."
29. Kt 92/k 153 (1-113-92),GÚ 20 ma-na AN.NA,“4 talent 20 minas of tin
30. Kt 91/k 349 (1-206-91),a-na A-lá-hi-im ù Hi-na-a qí-bi-ma um-ma E-lá-ma-<ma> iš-té-en šu-qú-ul : 1 GÚ 5 ma-/na iš-té-en 1 GÚ ŠU.NIGIN₂ 2 GÚ 5 ma-na AN.NA ku-nu-ku 25 ma-na [A]N.NA qá-tim [50]+12 ku-ta-nu [4] TÚG šu-ru-tum ša li-wi-/tim [2]5 TÚG šu-ru-tum [ŠU.NIGIN₂] 91 TÚG.HI.A [4] ANŠE.HI.A ṣa-lá-mu [1] ⌈ku⌉-sí-tum : i-a-tum ⌈ù⌉ ša-nu-um ša Ta-ah-/sí a-na Lá-ma-sà-tim ⌈2⌉ ku-ta-nu ša bé-ú-lá-at Ma-nu-ki-li-a 2 ku-ta-nu ša bé-ú-lá-at En-nam-A-/šùr mì-ma a-nim En-nam-A-šùr DUMU Dì-dì-a i-ra-de₈-a-[ku-nu-tí] 2 GÚ 10 ma-na AN.NA ku-/nu-ku 4ʾ(2) TÚG šu-ru-tum li-wi-tum 5 TÚG ku-ta-nu 2 ma-na AN.NA qá-tim 1 ANŠE [ṣa]-lá-mu-um [x x x x x x x]-ma-hi-im [x+]60 ku-ta-nu 2* ⌈ma-na x GÍN⌉ [ [AN.NA] ⌈a⌉-na qá-tí-šu a-dí-[in ] [x ma-n]a URUDU 3 ku-ta-nu [ ] [x x⌉*-BA mì-ma a-nim [ ],"To Ali-ahum and Hinnāya, thus Elamma: ŠOne packet of 1 talent 5 minas, one of 1 talent, in all 2 talents 5 minas of tin under seals; 25 minas loose tin. [6]2 kutšnu-textiles, [4] black textiles for wrapping, [2]5 dark textiles, in all 91 textiles. Four black donkeys one kus+tu-garment of myself and a kettle of Tahsi for Lamassutum. 2 kutšnā being the working capital of Mannu-kṣ-iliya, 2 kutšnu’s being the working capital of Ennam-AŠšur. All this Ennam-AŠšur, son of Didiya is bringing [to you{plur}]. 2 talents 10 minas of tin under seals, 4 dark textiles for wrapping, 5 kutšnu-textiles, 2 minas of loose tin, one black donkey [belonging to 'al]im-ahum? [x+]60 kutšnu-textiles, 2* minas and [ x shekels of tin I gave in his hand. [x] minas of copper, 3 kutšnu-textiles ............., all this [PN is bringing you?].”"
31. Kt 91/k 445 (1-298-91),a-na E-lá-ma ù Kur-ub-IŠtar qí-bi-ma um-ma I-dí-A-šur-ma 2 GÚ 10 ma-na AN.NA ku-nu-ki 50 TÚG ku-ta-ni qá-de₈ ša li-wi-tim 3 ANŠE ṣa-lá-me-e mì-ma a-nim E-na-ah-DINGIR ip-qí-dam mì-li-ik lu-qú-tí-ku-nu mì-il-kà,"Say to Elamma and to Kurub-IŠtar, thus Iddin-AŠšur: “2 talents 10 minas of tin under seals, 50 kutšnu-textiles, including those for wrapping Šthe tin), 3 black donkeys - all this +nah-ilṣ entrusted to me Šfor transport). Consider what to do with your merchandise.”"
32. Kt 91/k 448 (1-301-91),a-na Kur-ub-IŠtar ù tám-kà-ri-im qí-bi-ma um-ma I-dí-A-šur-<ma> 50 TÚG ku-ta-ni 2 ANŠE ša tám-kà-ri-im E-na-ah-ì-lí ip-qí-dam mì-li-ik lu-qú-tí-ku-nu mì-il₅-kà * ma-na KÙ.B. a-na pá-ni-a šé-bi-lam,"Say to Kurub-IŠtar and the merchant, thus Iddin-AŠšur: “50 kutšnu-textiles (and) 2 donkeys belonging to the trader +nah-ilṣ entrusted to me Šfor transport). Consider what to do with your merchandise. Send me en route * mina of silver.”"
33. Kt 91/k 337 (1-194-91),18 TÚG šu-ru-tim ù 10 TÚG ku-ta-ni 2 GÚ AN.NA ù li-wi-sú ku-nu-ki-šu ša A-lim{ki} 2 ANŠE ṣa-lá-me ú ú-nu-sú-/nu ša A-lá-hi-im a-na A-šur-iš-/ tí-kál áp-qí-id,"dark textiles and 10 kutšnu-textiles, 2 talents of tin with its wrapping, under his seals applied in the City, 2 black donkeys with their harness belonging to Ali-ahum, I entrusted to AŠšuriš-tikal"
34. Kt 91/k 358,GÍN i-ma-sà-im ma-na 10* GÍN ma-na AN.NA GÍN.TA,it became 3 shekels less due to is 16 minas 10* shekels. 20 minas of tin at a rate of 13 shekels per (1 shekel of silver)
35. Kt 91/k 418,ma-n[a x GÍN KÙ].B. ša A-ta-a (1 2 lines missing),2 minas [x] shekels of silver that Atāya
