id,transliteration,translation
74,ki-ma da-a-a-nu-um me-tù-ni A-šur-na-da TÚG.HI.A i-ki-mu-ni,"When the judge died, Ashur-nada deprived me of the textiles."
75,um-ma ma-ṣa-ru-ma a-na Pú-zur4-A-šur ú a-hu-a qí-bi-ma,Thus says the guards: Speak to Puzur-Ashur and my brother:
76,a-ma-kam a-wi-lim ša-e-il5-ma té-er-ta-kà li-li-kam,Question the boss there and let your instruction come to me.
77,a-ha-tí-kà me-et ú ni-kà-sú-šu sà-ah-ú,"Your sister is dead, and his accounts are in a mess."
78,um-ma a-ha-tí-kà-ma a-na a-wi-lim ú da-a-a-nu-um qí-bi-ma,Thus says your sister: Speak to the boss and the judge:
79,1 GÍN KÙ.BABBAR a-na DAM.GÀR di-in-ma šé-bi-lam,Give 1 shekel of silver to the merchant and send it to me.
80,a-na um-mì-a šu-a-tí lá ta-ta-kà-al KÙ.GI i-kà-al,"Do not trust that my mother, he will embezzle the gold."
81,a-na Pú-zur4-A-šur šu-a-tí lá ta-ta-kà-al lu-qú-tám i-kà-al,"Do not trust that Puzur-Ashur, he will embezzle the merchandise."
82,iš-tù kà-ri-im a-na É DAM.GÀR a-li-ik-ma KÙ.BABBAR ba-qí-ir,Go from the colony to the merchant's house and claim the silver.
83,a-wi-lúm a-wi-lam i-na <gap> ú-kà-al,One man is holding the other in <gap>.
84,a-na um-mì-a šu-a-tí lá ta-ta-kà-al <gap> i-kà-al,"Do not trust that my mother, he will embezzle the <gap>."
85,um-ma um-mì-a-ma a-na Pú-zur4-A-šur qí-bi-ma,Thus says my mother: Speak to Puzur-Ashur:
86,a-šu-um kà-ni-kám ša a-wi-lim a-na É DAM.GÀR u-šé-bi-lu a-na-kam áš-me,"Concerning the sealed document that boss sent to the merchant's house, I have heard about it here."
87,ṭup-pám ša da-a-a-nu-um a-mur-ma kà-ni-kám šé-bi-lam,Examine the tablet of the judge and send the sealed document.
88,a-bi-a a-na hu-bu-li-šu i-ta-wa-ar-ma in-ta-bi-it,"My father was overwhelmed by his debts, and he fled."
89,a-na <gap> qí-bi-ma um-ma a-ha-tí-kà-ma,Speak to <gap>: thus says your sister.
90,a-na a-ha-tí-kà qí-bi-ma um-ma a-wi-lim-ma,Speak to your sister: thus says the boss.
91,ṭup-pám ša ru-ba-im a-mur-ma KÙ.GI šé-bi-lam,Examine the tablet of the king and send the gold.
92,šu-ma wa-ar-di-ni AN.NA lá u-šé-bi-lam a-na a-lim(ki) a-ša-par,"If our slave does not send the tin to me, I will write to the City."
93,um-ma kà-ru-um ha-hi-im-ma a-na a-ha-tí-kà qí-bi-ma,Thus says the Hahhum colony: Speak to your sister:
94,<gap> ŠE i-na É DAM.GÀR a-na a-hu-a áš-qúl,I paid <gap> of grain to my brother in the merchant's house.
95,ki-ma ru-ba-im me-tù-ni a-bi-a lu-qú-tám i-ki-mu-ni,"When the king died, my father deprived me of the merchandise."
96,a-šu-um lu-qú-tám ša DAM.GÀR a-na ha-hi-im u-šé-bi-lu a-na-kam áš-me,"Concerning the merchandise that merchant sent to Hahhum, I have heard about it here."
97,lu-qú-tum a-na kà-ni-iš e-ru-ub-ma A-šur-na-da ni-is-ha-tum i-lá-qé,"The merchandise entered Kanesh, and Ashur-nada will take the deduction-taxes."
98,lu-qú-tum a-na bu-ru-uš-ha-tum e-ru-ub-ma DAM.GÀR ni-is-ha-tum i-lá-qé,"The merchandise entered Burushhattum, and the merchant will take the deduction-taxes."
99,um-ma a-ha-tí-kà-ma a-na ma-ṣa-ru ú ši-ip-ri-ni qí-bi-ma,Thus says your sister: Speak to the guards and our messenger:
100,ki-ma wa-ar-di-ni me-tù-ni ši-ip-ri-ni KÙ.GI i-ki-mu-ni,"When our slave died, our messenger deprived me of the gold."
101,a-na wa-ar-di-ni šu-a-tí lá ta-ta-kà-al URUDU dam-qám i-kà-al,"Do not trust that our slave, he will embezzle the fine copper."
102,um-ma kà-ru-um bu-ru-uš-ha-tum-ma a-na ru-ba-im qí-bi-ma,Thus says the Burushhattum colony: Speak to the king:
103,iš-tù É.GAL-lim a-na a-lim(ki) a-li-ik-ma ŠE ba-qí-ir,Go from the palace to the City and claim the grain.
104,a-ma-kam A-šur-na-da ša-e-il5-ma té-er-ta-kà li-li-kam,Question Ashur-nada there and let your instruction come to me.
105,a-na wa-ar-di-ni šu-a-tí lá ta-ta-kà-al KÙ.GI i-kà-al,"Do not trust that our slave, he will embezzle the gold."
106,ṭup-pám ša A-šur-na-da a-mur-ma ŠE šé-bi-lam,Examine the tablet of Ashur-nada and send the grain.
107,um-ma kà-ru-um kà-ni-iš-ma a-na ma-ṣa-ru qí-bi-ma,Thus says the Kanesh colony: Speak to the guards:
108,ki-ma Pú-zur4-A-šur me-tù-ni ru-ba-im TÚG.HI.A i-ki-mu-ni,"When Puzur-Ashur died, the king deprived me of the textiles."
109,iš-tù É.GAL-lim a-na ha-hi-im a-li-ik-ma AN.NA ba-qí-ir,Go from the palace to Hahhum and claim the tin.
110,um-ma <gap>-ma a-na ma-ṣa-ru ú a-wi-lim qí-bi-ma,Thus says <gap>: Speak to the guards and the boss:
111,a-šu-um kà-ni-kám ša a-hu-a a-na wa-ah-šu-ša-na u-šé-bi-lu a-na-kam áš-me,"Concerning the sealed document that my brother sent to Wahshushana, I have heard about it here."
112,ṭup-pám ša ma-ṣa-ru a-mur-ma KÙ.BABBAR šé-bi-lam,Examine the tablet of the guards and send the silver.
113,a-wi-lim a-na hu-bu-li-šu i-ta-wa-ar-ma in-ta-bi-it,"The boss was overwhelmed by his debts, and he fled."
114,a-šu-um ŠE ša ru-ba-im a-na É.GAL-lim u-šé-bi-lu a-na-kam áš-me,"Concerning the grain that king sent to the palace, I have heard about it here."
115,ki-ma Pú-zur4-A-šur me-tù-ni a-bi-a kà-ni-kám i-ki-mu-ni,"When Puzur-Ashur died, my father deprived me of the sealed document."
116,lu-qú-tum a-na ha-hi-im e-ru-ub-ma ru-ba-im ni-is-ha-tum i-lá-qé,"The merchandise entered Hahhum, and the king will take the deduction-taxes."
117,iš-tù kà-ri-im a-na É.GAL-lim a-li-ik-ma KÙ.GI ba-qí-ir,Go from the colony to the palace and claim the gold.
118,ṭup-pám ša da-a-a-nu-um a-mur-ma lu-qú-tám šé-bi-lam,Examine the tablet of the judge and send the merchandise.
119,lu-qú-tum a-na wa-ah-šu-ša-na e-ru-ub-ma ši-ip-ri-ni ni-is-ha-tum i-lá-qé,"The merchandise entered Wahshushana, and our messenger will take the deduction-taxes."
120,šu-ma wa-ar-di-ni ṭup-pám lá u-šé-bi-lam a-na É DAM.GÀR a-ša-par,"If our slave does not send the tablet to me, I will write to the merchant's house."
121,da-a-a-nu-um a-na hu-bu-li-šu i-ta-wa-ar-ma in-ta-bi-it,"The judge was overwhelmed by his debts, and he fled."
122,iš-tù É.GAL-lim a-na a-lim(ki) a-li-ik-ma <gap> ba-qí-ir,Go from the palace to the City and claim <gap>.
123,ṭup-pám ša A-šur-na-da a-mur-ma lu-qú-tám šé-bi-lam,Examine the tablet of Ashur-nada and send the merchandise.
124,lu-qú-tum a-na kà-ri-im e-ru-ub-ma ši-ip-ri-ni ni-is-ha-tum i-lá-qé,"The merchandise entered the colony, and our messenger will take the deduction-taxes."
125,ma-ṣa-ru a-na hu-bu-li-šu i-ta-wa-ar-ma in-ta-bi-it,"The guards was overwhelmed by his debts, and he fled."
126,iš-tù a-lim(ki) a-na É DAM.GÀR a-li-ik-ma KÙ.GI ba-qí-ir,Go from the City to the merchant's house and claim the gold.
127,1 GÍN ṭup-pám a-na a-bi-a di-in-ma šé-bi-lam,Give 1 shekel of the tablet to my father and send it to me.
128,1 ma-na TÚG.HI.A a-na <gap> di-in-ma šé-bi-lam,Give 1 mina of textiles to <gap> and send it to me.
129,um-ma a-ha-tí-kà-ma a-na ru-ba-im ú Pú-zur4-A-šur qí-bi-ma,Thus says your sister: Speak to the king and Puzur-Ashur:
130,da-a-a-nu-um me-et ú ni-kà-sú-šu sà-ah-ú,"The judge is dead, and his accounts are in a mess."
131,lu-qú-tum a-na <gap> e-ru-ub-ma da-a-a-nu-um ni-is-ha-tum i-lá-qé,"The merchandise entered <gap>, and the judge will take the deduction-taxes."
132,a-šu-um kà-ni-kám ša ru-ba-im a-na É DAM.GÀR u-šé-bi-lu a-na-kam áš-me,"Concerning the sealed document that king sent to the merchant's house, I have heard about it here."
133,um-ma ši-ip-ri-ni-ma a-na da-a-a-nu-um ú um-mì-a qí-bi-ma,Thus says our messenger: Speak to the judge and my mother:
134,iš-tù ha-hi-im a-na bu-ru-uš-ha-tum a-li-ik-ma URUDU dam-qám ba-qí-ir,Go from Hahhum to Burushhattum and claim the fine copper.
135,a-šu-um ṭup-pám ša a-ha-tí-kà a-na ha-hi-im u-šé-bi-lu a-na-kam áš-me,"Concerning the tablet that your sister sent to Hahhum, I have heard about it here."
136,ṭup-pám ša wa-ar-di-ni a-mur-ma KÙ.GI šé-bi-lam,Examine the tablet of our slave and send the gold.
137,ki-ma ru-ba-im me-tù-ni wa-ar-di-ni KÙ.GI i-ki-mu-ni,"When the king died, our slave deprived me of the gold."
138,lu-qú-tum a-na <gap> e-ru-ub-ma a-hu-a ni-is-ha-tum i-lá-qé,"The merchandise entered <gap>, and my brother will take the deduction-taxes."
139,um-ma ši-ip-ri-ni-ma a-na a-ha-tí-kà ú um-mì-a qí-bi-ma,Thus says our messenger: Speak to your sister and my mother:
140,um-ma wa-ar-di-ni-ma a-na um-mì-a ú A-šur-na-da qí-bi-ma,Thus says our slave: Speak to my mother and Ashur-nada:
141,a-wi-lúm a-wi-lam i-na É DAM.GÀR ú-kà-al,One man is holding the other in the merchant's house.
142,a-šu-um KÙ.GI ša ru-ba-im a-na a-lim(ki) u-šé-bi-lu a-na-kam áš-me,"Concerning the gold that king sent to the City, I have heard about it here."
143,iš-tù É.GAL-lim a-na kà-ri-im a-li-ik-ma ṭup-pám ba-qí-ir,Go from the palace to the colony and claim the tablet.
144,um-mì-a me-et ú ni-kà-sú-šu sà-ah-ú,"My mother is dead, and his accounts are in a mess."
145,a-na <gap> šu-a-tí lá ta-ta-kà-al TÚG.HI.A i-kà-al,"Do not trust that judge, he will embezzle the textiles."
146,iš-tù kà-ri-im a-na kà-ni-iš a-li-ik-ma kà-ni-kám ba-qí-ir,Go from the colony to Kanesh and claim the sealed document.
147,a-na A-šur-na-da qí-bi-ma um-ma da-a-a-nu-um-ma,Speak to Ashur-nada: thus says the judge.
148,ṭup-pám ša Pú-zur4-A-šur a-mur-ma ŠE šé-bi-lam,Examine the tablet of Puzur-Ashur and send the grain.
149,ki-ma wa-ar-di-ni me-tù-ni A-šur-na-da TÚG.HI.A i-ki-mu-ni,"When our slave died, Ashur-nada deprived me of the textiles."
150,um-ma kà-ru-um ha-hi-im-ma a-na a-hu-a qí-bi-ma,Thus says the Hahhum colony: Speak to my brother:
151,um-ma <gap>-ma a-na wa-ar-di-ni ú a-ha-tí-kà qí-bi-ma,Thus says <gap>: Speak to our slave and your sister:
152,lu-qú-tum a-na kà-ri-im e-ru-ub-ma a-wi-lim ni-is-ha-tum i-lá-qé,"The merchandise entered the colony, and the boss will take the deduction-taxes."
153,5 GÍN URUDU dam-qám a-na ru-ba-im di-in-ma šé-bi-lam,Give 5 shekels of fine copper to the king and send it to me.
154,a-wi-lúm a-wi-lam i-na kà-ri-im ú-kà-al,One man is holding the other in the colony.
155,a-šu-um KÙ.GI ša a-bi-a a-na bu-ru-uš-ha-tum u-šé-bi-lu a-na-kam áš-me,"Concerning the gold that my father sent to Burushhattum, I have heard about it here."
156,lu-qú-tum a-na kà-ni-iš e-ru-ub-ma da-a-a-nu-um ni-is-ha-tum i-lá-qé,"The merchandise entered Kanesh, and the judge will take the deduction-taxes."
157,1 ma-na AN.NA i-na kà-ri-im a-na A-šur-na-da áš-qúl,I paid 1 mina of tin to Ashur-nada in the colony.
158,lu-qú-tum a-na wa-ah-šu-ša-na e-ru-ub-ma a-bi-a ni-is-ha-tum i-lá-qé,"The merchandise entered Wahshushana, and my father will take the deduction-taxes."
159,um-ma <gap>-ma a-na ši-ip-ri-ni ú a-bi-a qí-bi-ma,Thus says <gap>: Speak to our messenger and my father:
160,ki-ma DAM.GÀR me-tù-ni Pú-zur4-A-šur AN.NA i-ki-mu-ni,"When the merchant died, Puzur-Ashur deprived me of the tin."
161,um-ma kà-ru-um a-lim(ki)-ma a-na ru-ba-im qí-bi-ma,Thus says the City colony: Speak to the king:
162,um-ma kà-ru-um kà-ri-im-ma a-na a-bi-a qí-bi-ma,Thus says the colony colony: Speak to my father:
163,um-ma kà-ru-um kà-ri-im-ma a-na ru-ba-im qí-bi-ma,Thus says the colony colony: Speak to the king:
164,10 ma-na kà-ni-kám i-na kà-ni-iš a-na a-ha-tí-kà áš-qúl,I paid 10 minas of the sealed document to your sister in Kanesh.
165,um-ma ši-ip-ri-ni-ma a-na ma-ṣa-ru ú a-wi-lim qí-bi-ma,Thus says our messenger: Speak to the guards and the boss:
166,a-na a-wi-lim šu-a-tí lá ta-ta-kà-al AN.NA i-kà-al,"Do not trust that boss, he will embezzle the tin."
167,ši-ip-ri-ni a-na hu-bu-li-šu i-ta-wa-ar-ma in-ta-bi-it,"Our messenger was overwhelmed by his debts, and he fled."
168,a-ma-kam a-ha-tí-kà ša-e-il5-ma té-er-ta-kà li-li-kam,Question your sister there and let your instruction come to me.
169,a-ma-kam Pú-zur4-A-šur ša-e-il5-ma té-er-ta-kà li-li-kam,Question Puzur-Ashur there and let your instruction come to me.
170,lu-qú-tum a-na <gap> e-ru-ub-ma DAM.GÀR ni-is-ha-tum i-lá-qé,"The merchandise entered <gap>, and the merchant will take the deduction-taxes."
171,a-ma-kam DAM.GÀR ša-e-il5-ma té-er-ta-kà li-li-kam,Question the merchant there and let your instruction come to me.
172,a-wi-lúm a-wi-lam i-na a-lim(ki) ú-kà-al,One man is holding the other in the City.
173,lu-qú-tum a-na a-lim(ki) e-ru-ub-ma da-a-a-nu-um ni-is-ha-tum i-lá-qé,"The merchandise entered the City, and the judge will take the deduction-taxes."
174,ki-ma a-ha-tí-kà me-tù-ni a-hu-a <gap> i-ki-mu-ni,"When your sister died, my brother deprived me of the <gap>."
175,um-mì-a a-na hu-bu-li-šu i-ta-wa-ar-ma in-ta-bi-it,"My mother was overwhelmed by his debts, and he fled."
176,a-na um-mì-a šu-a-tí lá ta-ta-kà-al ŠE i-kà-al,"Do not trust that my mother, he will embezzle the grain."
177,a-na ru-ba-im šu-a-tí lá ta-ta-kà-al TÚG.HI.A i-kà-al,"Do not trust that king, he will embezzle the textiles."
178,ṭup-pám ša a-ha-tí-kà a-mur-ma ṭup-pám šé-bi-lam,Examine the tablet of your sister and send the tablet.
179,ki-ma <gap> me-tù-ni Pú-zur4-A-šur AN.NA i-ki-mu-ni,"When <gap> died, Puzur-Ashur deprived me of the tin."
180,ki-ma a-hu-a me-tù-ni Pú-zur4-A-šur kà-ni-kám i-ki-mu-ni,"When my brother died, Puzur-Ashur deprived me of the sealed document."
181,a-na ši-ip-ri-ni qí-bi-ma um-ma wa-ar-di-ni-ma,Speak to our messenger: thus says our slave.
182,a-na <gap> qí-bi-ma um-ma ru-ba-im-ma,Speak to <gap>: thus says the king.
183,1 GÍN URUDU dam-qám i-na kà-ni-iš a-na ma-ṣa-ru áš-qúl,I paid 1 shekel of fine copper to the guards in Kanesh.
184,ki-ma a-ha-tí-kà me-tù-ni um-mì-a KÙ.BABBAR i-ki-mu-ni,"When your sister died, my mother deprived me of the silver."
185,um-ma kà-ru-um kà-ri-im-ma a-na a-wi-lim qí-bi-ma,Thus says the colony colony: Speak to the boss:
186,lu-qú-tum a-na bu-ru-uš-ha-tum e-ru-ub-ma a-hu-a ni-is-ha-tum i-lá-qé,"The merchandise entered Burushhattum, and my brother will take the deduction-taxes."
187,a-na a-ha-tí-kà šu-a-tí lá ta-ta-kà-al KÙ.GI i-kà-al,"Do not trust that your sister, he will embezzle the gold."
188,um-ma um-mì-a-ma a-na ši-ip-ri-ni ú DAM.GÀR qí-bi-ma,Thus says my mother: Speak to our messenger and the merchant:
189,ṭup-pám ša a-wi-lim a-mur-ma ṭup-pám šé-bi-lam,Examine the tablet of the boss and send the tablet.
190,a-ma-kam um-mì-a ša-e-il5-ma té-er-ta-kà li-li-kam,Question my mother there and let your instruction come to me.
191,1/3 ma-na kà-ni-kám i-na a-lim(ki) a-na a-ha-tí-kà áš-qúl,I paid one-third of a mina of the sealed document to your sister in the City.
192,šu-ma A-šur-na-da AN.NA lá u-šé-bi-lam a-na É.GAL-lim a-ša-par,"If Ashur-nada does not send the tin to me, I will write to the palace."
193,a-na DAM.GÀR šu-a-tí lá ta-ta-kà-al kà-ni-kám i-kà-al,"Do not trust that merchant, he will embezzle the sealed document."
194,iš-tù kà-ni-iš a-na kà-ri-im a-li-ik-ma <gap> ba-qí-ir,Go from Kanesh to the colony and claim the <gap>.
195,<gap> me-et ú ni-kà-sú-šu sà-ah-ú,"<gap> is dead, and his accounts are in a mess."
196,šu-ma um-mì-a AN.NA lá u-šé-bi-lam a-na É DAM.GÀR a-ša-par,"If my mother does not send the tin to me, I will write to the merchant's house."
197,a-na ma-ṣa-ru šu-a-tí lá ta-ta-kà-al TÚG.HI.A i-kà-al,"Do not trust that guards, he will embezzle the textiles."
198,a-na wa-ar-di-ni šu-a-tí lá ta-ta-kà-al ŠE i-kà-al,"Do not trust that our slave, he will embezzle the grain."
