transliteration,translation
7 GÍN KÙ.BABBAR hu-bu-ul pì-lá-ah-IŠTAR DUMU a-šur-SIPA ⅓ ma-na 2½ GÍN KÙ.BABBAR ša nu-a-im ša ša-<gap>-a lu hu-bu-lim ša ha-ri-im-tí-im kà-áp-sí-a DAM a-lá-bi4-im a-na hu-dí-da ù me-er-e ha-na-na ú-lá i-tù-ar e-10+5 GÍN ša na-ki-le-ed ú kà-nu šu-ma wa-at-ra-am KÙ.BABBAR ha-na-na iš-tí na-ki-le-ed i-le-e i li-bi4-ša kà-áp-sí-a tí-šu,"If, apart from the 15 shekels, which Nakile'ed has to confirm, Hanana proves to have an additional claim in silver on Nakile'ed, Kapsiya will have a claim on her (Hudida) for the (figurines of the) gods."
IGI a-šùr-lá-ma-sí DUMU šu-ku-bi4-im IGI en-na-nim IGI ú-ba-a IGI šu-mì-a-bi4-a IGI a-mur-{d}UTU,"In the presence of Aššur-lamassī, son of Šu-Kūbum, of Ennānum, of Ubaya, of Šumi-abiya, and of Amur-Šamaš."
KIŠIB ku-la a-hu-ú šu-ku-tim KIŠIB PUZUR4-tí-a-am-tim DUMU IŠTAR-pá-li-il5 KIŠIB en-um-a-šur DUMU kà-ri-a KIŠIB en-na-sú-in DUMU i-dí-a-bi-im KIŠIB a-nu-li a-hi-šu,"Seal of Kula brother of Šukkutum, seal of Puzur-Ti'amtum son of Ištar-pālil, seal of Ennam-Aššur son of Karria, seal of Enna-Suen son of Iddin-abum, seal of Anuli his brother."
lu-qú-tám ša ša-lim-a-šur ša i-na ha-hi-im É i-sú-ri-ik ù me-er-ú i-dí-a-bi-im iṣ-bu-tù-ni-ma a ma-lá ṭup-pí-im ša dí-in a-lim{ki} ša kà-ku-a ub-lá-ni a-na lu-qú-tim ší-a-tí en-na-sú-in ù a-nu-li a-na ša-lim-a-šur ú-lá i-tù-ru,"As to the goods belonging to Šalim-Aššur that were in Hahhum in the house of Issu-arik, and which the sons of Iddin-abum siezed- in accordance with the tablet with a verdict of the City that Kakuwa brought, Enna-Suen and Anuli must not raise claim against Šalim-Aššur with respect to these goods."
a-na en-nam-a-šur ù a-lá-hi-im qí-bi4-ma um-ma SIG5-pí-a-šùr-ma ½ ma-na LÁ 1 GÍN KÙ.BABBAR,To Ennam-Aššur and Ali-ahum from Damiq-pī-Aššur:
ù sà-hi-ir-tám ku-nu-ki-kà na-ki-ru-um ub-lam,The herald brought me 29 shekels of silver and small goods under your seal.
10 ma-na KÙ.BABBAR a-ni-na ú e-ni-iš-ta-ru-um ub-lá-ku-nu-tí,"""Annina and Eništārum brought you 10 minas of silver."""
KÙ.BABBAR ša tù-šé-bi-lá-ni a-na ni-ip-lá-tí-a áš-ta-qal,The silver you sent me I have paid to cover my balance payments.
ú-mu-ú er-ša-sú-ma ILLAT kà-al-a-at a-hu-a a-tù-nu i-na lu-qú-tim ša tám-kà-ri-im ṣú-ba-tù an-hu-tù-um i-ba-ší-ú,"The weather <gap> and the caravan has stopped. My dear brothers, among the goods of the merchant there are some old textiles."
ih-da-ma mì-li-ik lu-qú-tí-im mì-il5-kà a-hu-a a-tù-nu KÙ.BABBAR ší-im AN.NA <gap> šé-bi-lá-ni-ma KÙ.BABBAR-pì <gap> i-na ṣé-ri-a šu-uk-na,"Take care and decide about the goods. My dear brothers, send me silver, the proceeds from the tin, and deposit my silver to my debit."
a-dí tí-ir-ta-ak-nu i-lá-kà-ni ri-iš lu-qú-tim ú-kà-al,I hold on to the goods until your orders arrive.
3 ma-na SÍG.HI.A i-nu-mì 1 ma-na SÍG.HI.A a-na nu-a-im ša-a-al i-ṣú-ra-tim a-dí-nu,Threes minas of wool when I gave 1 mina of wool to the native of 'Birds-Town'.
5 ma-na SÍG.HI.A ša iš-tù té-ga-ra-ma a-ni-iš-ú,5 minas of wool which I had brought from Tegarama.
5 ma-na SÍG.HI.A ša É-be-et kà-ri-im,5 minas of wool of the kārum-office.
1½ ma-na SÍG.HI.A ni-qí-a-am ša a-na sú-in a-qí-ú,"1 ½ mina of wool, a gift which I offered to Suen."
2½ ma-na SÍG.HI.A ni-qí-a-am ša a-na a-na-a a-qí-ú,2 ½ minas of wool a gift which I offered to Anna.
9 ma-na SÍG.HI.A i-na ša en-um-a-šùr i-dí-na-ni,9 minas of wool from what Ennum-Aššur had given me.
ŠU.NÍGIN 21 ma-na a-na am-tim e-zi-ib,In all 21 minas I left to the maid.
ša-lim-a-šùr šu-bé-lúm ù en-na-sú-in na-aṣ-bu-tù-ma um-ma šu-bé-lúm-ma a-na ša-lim-a-šùr,"While Šalim-Aššur, Šu-Bēlum, and Enna-Suen siezed eachother, Šu-Bēlum said to Šalim-Aššur:"
a-na mì-nim tù-kà-al-ni-a-tí um-ma ša-lim-a-šur-ma a-na hu-bu-ul a-bi-ku-nu ša KÙ.BABBAR ú-ša-qí-lu ú-kà-al-ku-nu,"""Why do you detain us?"" Šalim-Aššur answered: ""I detain you because of the debt of your father, for which I paid silver."""
um-ma šu-bé-lúm-ma a-na ki ma-ṣí KÙ.BABBAR tù-kà-al-ni-a-tí a-na 1 GÚ-at ù 2 GÚ KÙ.BABBAR tù-kà-al-ni-a-tí,"Šu-Bēlum asked: ""For how much silver do you detain us? Do you detain us for 1 talent or for 2 talents of silver?"""
um-ma ša-lim-a-šur-ma lu 1 GÚ lu 2 GÚ a ma-lá ṭup-pí ha-ru-mu-tim ša a-na hu-bu-ul a-bi-ku-nu KÙ.BABBAR ú-ša-qí-lu ú-kà-al-ku-nu ù qá-dum ṣí-ib-tí-šu a-na 5 GÚ KÙ.BABBAR i-tù-ar,"Šalim-Aššur answered: ""I detain you for either 1 or 2 talents of silver according to the certified tablets, stating that I paid silver for the debt of your father. But including its interest it has become 5 talents of silver."""
šu-bé-lúm uz-na-tí-ni il5-pu-ut ša ni-iš a-lim{ki} ta-mu-ú lu-ú kà-i-lá,"Šu-Bēlum reminded us: ""Keep this in mind, what was sworn by an oath by the City."""
a-na a-wa-tim a-ni-a-tim kà-ru-um kà-ni-iš i-dí-ni-a-tí-ma IGI GÍR ša a-šùr ší-bu-tí-ni ni-dí-in IGI MAR.TU-ba-ni IGI šu-ku-bi-im,"The Kanesh colony gave us for these proceedings and we gave our testimony before Aššur's dagger. Witnessed by Amurrum-bāni, by Šu-Kūbum."
KIŠIB a-ku-za KIŠIB la-li-im KIŠIB šu-ku-bi-im DUMU a-zu KIŠIB a-šùr-i-mì-tí DUMU i-ku-pì-IŠTAR KIŠIB i-tur4-DINGIR DUMU a-mur-IŠTAR,"Sealed by Akuza, by Lalum, by Šu-kūbum son of Azu, by Aššur-imittī son of Ikūn-pi-Ištar, by Itūr-ilī son of Amun-Ištar."
ṭup-pu-um ša ba-áb DINGIR-lim ša ší-bu-tí-šu-nu ša IGI GÍR ša a-šùr,The tablet from the Gate of God with their testimony before Aššur's dagger.
É šál-ma-a-šùr a-na a-wa-tim né-ru-ub-ma,"We entered Šalim-Aššur's house to settle the case,"
um-ma šál-ma-a-šùr-ma i-a-tí a-na bu-ru-uš-ha-dim i-na ma-ak-sú-im a-na hu-bu-ul ÌR a-bu-ša-lim ša-qá-lim i-ra-de8-ú-ni a-ta 30 TÚG ku-ta-ni ù ANŠE ṣa-lá-ma-am ša ÌR tal-qé,"Šalim-Aššur said: ""While they are going to lead me to Burušhaddum in fetters in order to pay the debt of the slave Abu-šalim, you on the other hand have taken 30 kutānu-textiles and a black donkey from the slave."""
um-ma šu-be-lúm-ma ke-na ša ÌR-dí-a a-bu-ša-lim al-qé ša-lim-a-šur ša ni-iš a-lim{ki} úz-na-tí-ni il5-pu-ut,"Šu-Bēlum answered: ""Yes, I have taken what belongs to my slave Abu-šalim."""
um-ma šál-ma-a-šur-ma a-šar ÌR a-na wa-ar-dí-kà lá i-tù-ru ma-a a-na wa-ar-dí-a i-tù-ar,"Šalim-Aššur impressed on us what was sworn by the City, and Šalim-Aššur said: ""In case the slave does not raise claim against your slave, will he then raise claim against my slave?"""
um-ma šu-be-lúm-ma šu-ma a-na ku-a-im i-tù-ar a-na TÚG.HI.A ù ANŠE a-za-za-kum a-na a-wa-tim a-ni-a-tim kà-ru-um kà-né-eš i-dí-ni-a-tí-ma,"Šu-Bēlum answered: ""If he raises claim against yours, I shalll guaruntee for the textiles and the donkey."" The"
IGI GÍR ša a-šur ší-bu-tí-ni ni-dí-in IGI ú-ra-a IGI ì-lí-dan IGI ma-nu-um-ba-lúm-a-šur,"Witnessed by Uraya, by Ilī-dan, by Man-num-balum-Aššur."
2 ú-kà-pu-ú e-dí-ú tum ša iš-tí du-du-ú a-na kà-ar-pá-at ú na-bi-it ṭá-áb-tim,2 <gap> saddleclothes which I acquried from Dudū for one jar and a <gap> of salt.
al-qé-ú ù e-ma-sú-um ša 10 qé-e iš-tí en-um-a-šùr DUMU ší-ip-ri-im i-na té-ga-ra-ma i-ba-ší,"And one emāsum with a capacity of ten quarts is with Ennum-Aššur, the son of the messenger, in Tegarama."
½ GÍN KÙ.BABBAR ša {d}UTU-ba-ni i li-bi a-sà-nim 1 GÍN KÙ.BABBAR i tù-a-ri-šu i-da-šum,"Half a shekel of silver of Šamaš-bāni is due from Asānum, when he comes back he will give him 1 shekel of silver."
i-ṣé-er i-dí-a-bi4-im šu-{d}EN.LÍL i-šu iš-tù ha-mu-uš-tim ša kà-ší-im <gap>,Iddin-abum owes 20 minas of refined silver to Šu-Illil.
a-na 13 ha-am-ša-tim i-ša-qal šu-ma i-na ma-la u4-me-šu lá eš-qú-ul 1½ GÍN.TA,Reckoned from the week of the kaššum he must pay within 13 weeks.
i-na ITU.KAM a-na 1 ma-na-im ú-ṣa-áb IGI PUZUR4-a-šùr IGI a-šùr-i-mì-tí IGI šu-a-nim IGI a-šùr-be-el-a-wa-tim,"If he has not paid at the completion of his term, he must pay interest at the rate 1 ½ shekel per month per mina."
kà-ru-um <gap> dí-nam i-dí-in-ma ša-lim-a-šùr ù me-er-ú i-dí-a-bi-im i-na ki-dim a-hu-um a-na a-hi-im da-na-sú i-qá-be,"The <gap> colony passed a verdict, stating that Šalim-Aššur and the sons of Iddin-abum will each say binding words to each other outside (the city)."
a-dí 3 u4-me ma-ma-an GÁN-lam i-na ba-ri-šu-nu ú-lá i-lá-ak,Within 3 days no one among them may go away (from here).
1⅓ ma-na KÙ.BABBAR i-na KÙ.BABBAR-áp a-bu-ša-lim DUMU e-na-su-in ša hu-ut-<gap> a-na a-na-ah-ì-lí DUMU DU10-ṣí-lá-a-šur i-dí-nu-ma ṭup-pu-šu ih-ri-mu-ma i-na ṭup-pí-im ša ku-nu-uk a-na-ah-ì-lí lu šu-mì a-bu-ša-lim ú-du-ú lu šu-mì DAM.GÀR ú-du-ú KÙ.BABBAR u ṣí-ba-sú ša ṭup-pí-im šu-wa-tí a-šur-ma-lik DUMU ku-ra-ra ku-li-a DUMU a-lá-bi4-im ù šu-be-lim DUMU pu-qí-dí ša ki-ma a-šur-DU10 DUMU a-bu-ša-lim ša-bu-ú,"1 ⅓ mina of silver from the silver of Abu-šalim, son of Ennam-Suen, which Hut <gap> gave to Anah-ilī, son of Ṭāb-ṣilli-Aššur, and for which he drew up a valid record and in which tablet, sealed by Anah-ilī, either the name of Abu-šalim, or simply ""the creditor"" is indicated - with the silver and the interest on it of this tablet Aššur-mālik, son of Kurara, Kuliya, son of Ali-abum, and Šu-Bēlum, son of Puqidi, the representatives of Aššur-ṭāb, have been satisfied."
ṭup-pu-um ša hu-bu-ul a-na-ah-ì-lí ša i-li-a-ni sà-ar,The tablet of the debt of Anah-ilī that may turn up is invalid.
ma-tí-ma a-na-ah-ì-lí a-na a-šur-ma-lik ku-li-a ù šu-be-lim i-tu-ru ṭup-pá-am ha-ar-ma-am ša ma-nu-um-me <gap> ú-bu-lu-nim-ma ṭup-pu-um a-num i-mu-a-at,"If ever Anah-ilī should raise a claim against Aššur-mālik, Kuliya and Šu-Bēlum, they will bring the valif record of Mannum-mu <gap> and then this tablet will be cancelled."
IGI IŠTAR-tù-li-id DUMU a-da-a IGI bu-da-a DUMU ta-ra-wa-zi,"In the presence of Ištar-tūlid, son of Adaya, of Budaya, son of Tarawazi."
1½ ma-na KÙ.BABBAR iš-ra-tim pu-šu-ki-in DUMU bu-za-zu i-na ku-bu-ur-na-at nu-ša-dí-in-ma ŠÀ.BA 1 ma-na KÙ.BABBAR šu-sú-in DUMU áb-lá-ma-sí ú a-šùr-i-dí DUMU a-da-da ku-nu-ki ša wa-bar-tim ú ku-nu-ki-a a-na kà-ri-im,"One and a half mina of silver, the tithe, we collected from Pušu-ken, son of Buzāzu, in Kuburnat, and 1 mina of silver thereof Su-Suen, son of Abi-lamassi, and Aššur-idi, son of Adada, are bringing to the kārum under the seal of the wabartum and my seal."
i-ni-iš-ú ½ ma-na KÙ.BABBAR i-na tù-ùh-pí-a a-šùr-ma-lik DUMU ku-ra-ra e-pu-ul a-na kà-ri-im i-ša-qal,"For ½ mina of silver Aššur-malik, Kurara' son, gave his promise in Tuhpiya, he will pay to the kārum."
15 GÍN KÙ.BABBAR DUMU a-lu-lá-a i-na ha-na-ak-na-ak nu-ša-dí-ma ku-nu-ki-ni li-ba-a ù ku-bi-a i-ni-iš-ú,Fifteen shekels of silver we collected from Alulaya's son in Hanaknak and under our seals Libaya and Kubiya are bringing it.
⅓ ma-na KÙ.BABBAR ša-du-a-tám ni-mar-sú-in DUMU da-dí-a i-na du-ur-hu-mì-it nu-ša-dí,"One third mina of silver, šaddu-utu-tax [we levied from Nimar-Suen, son of Dadiya, in Durhumit."
1½ GÍN KÙ.AN iš-ra-tim šu-ma-bi4-a DUMU a-šùr-e-li-tí nu-ša-dí-ma ku-nu-ke-e ša kà-ri-im du-ur-hu-mì-it i-na ší-na-hu-tim IGI wa-bar-tim a-na šu-a-nim DUMU me-na-nim ù ma-num-ki-{d}IŠKUR áp-qí-id-ma a-na kà-ri-im i-ni-iš-ú,"1 ½ shekel of meteoric iron, the tithe, we [levied from Sumi-abia, son of Aššur-elliti, and under the seals of kārum Durhumit I entrusted it in Sinahuttum, before the warbartum to Su-Anum, son of Menānum, and Mannum- [ki-Adad, who are bringing it to the kārum."
10 GÍN KÙ.BABBAR ša-du-a-tám bu-ṣí-a ša ku-bu-ur-na-at i-na tù-ùh-pí-a nu-ša-dí-ma ku-nu-ki-ni {d}EN.LÍL-ba-ni DUB.SAR a-na kà-ri-im i-ni-ší-i,"Ten shekels of silver, šaddu-utu-tax, we levied from Busia of Kuburnat in Tuhpiya and under our seals Enlil-bani, the scribe, is bringing it to the kārum."
a-na ku-li-a qí-bi-ma um-ma a-sà-num-ma,"To Kuliya, thus says Asānum:"
a-ma-a dam-qá-tù-šu ša al-pì-lí ša i-na té-ga-ra-ma ú-ta-mì-ú pa-ar-sà-ti-kà a-wa-tim u-šé-ṣí-i ú šu-um-ka SIG5 ṭá-pu-ul ú a-na-ku iš-tí-kà-ma ṭá-pu-lá-ku aq-bi-a-ku-um,"Really, this is the friendliness of Alpilī whom I made swear an oath in Tegarama - he has disclosed confidential matters of you, and your good reputation too has been besmirched and I have been besmirched together with you."
um-ma a-na-ku-ma a-wa-tí-kà al-pì-lí lá tù-lá-ma-ad a-wa-sú,"I had told you: Do not inform Alpilī about your affairs, he <gap> his word."
ú-ZA-AD a-bi a-ta be-lí a-ta lá ta-qá-bi um-ma a-ta-ma i-qí-in-im a-šu-mì ta-pá-i-šu-ú na-áš-pè-er-tám uš-té-bi-lam,"Please my father, my lord, do not thing: Out of jealousy he has sent me a letter about his partner!"
ma-di-iš li-bi-i im-ra-aṣ a-na a-wa-tim ša a-áš-ta-me-ú a-na a-wa-tim a-ni-a-tim DINGIR lu i-de8 a-na al-pì-lí,"He has really hurt me terribly. For the rumors I keep hearing, for these matters god be my witness against Alpilī."
um-ma šu-ut-ma a-na am-tí-kà-ma <gap> lá i-ba-ší,He said to your maid: There is no <gap> available.
i-na <gap> 2-ší-ta a-ša-tám da-mì-iq-tám ku-li-a e-ha-az,Of the two girls/maid Kuliya will marry one as a fine wife.
i-na <gap> am-tí-kà ka-lá-ší-na-ma tù-ba-lá-ku-um,Of/with the <gap> of your maid all of them she will bring you.
li-ba-kà lá i-na-hi-id e-lá-an 3 GÍN KÙ.BABBAR mì-ma wa-at-ra-am,Don't be worried. Apart from 3 shekels of silver he gave her nothing extra.
lá i-dí-ší-im ú ša a-da-<gap>-tim,And he did not give her any <gap>
mì-ma lá i-dí-ší-im ú a-ma-tum ra-qá-ma,"Moreover, the slave-girls are idle and do nothing."
uš-ba ú li-bi4-ša ki-ma mì-ma lá i-dí-nu-ší-ni iš-té-né-ú-ma LU,And because he gave her nothing they keep looking for <gap> and she is very angry.
ša-lim-a-šùr ù šu-be-lúm DUMU i-dí-a-bi-im ni-kà-sí ma-ah-ri-ni i-sí-ú-ma 1 GÚ 13 ma-na URUDU lá-mu-na-am i-ṣé-er šu-be-lim ša-lim-a-šùr i-dí-i,"Šalim-Aššur and Šu-Bēlum son of Iddin-abum settled accounts before us, and Šalim-Aššur submitted 1 talent 13 minas of bad copper as a claim on Šu-Bēlum."
um-ma ša-lim-a-šùr-ma a-na šu-be-lim-ma i pí-i i-sú-ri-ik a-bi-a qá-tá-at a-bi-kà al-ta-pá-at lu i-ba-ba-tí-šu KÙ.BABBAR al-qé-ma a-na hu-bu-li-šu ú-ša-qí-il5 lu i-na na-ru-qí-a KÙ.BABBAR ma-da-ma a-na hu-bu-ul a-bi-kà ú-ša-qí-il5 al-kam ṭup-pí-a lu-kà-li-im-kà,"Šalim-Aššur said to Šu-Bēlum""On the orders of Issu-arik, my father, I wrote myself as your father's guarantor. I took silver from his outstanding claims and paid to cover his debt, and I paid a great deal of silver from my joint-stock capital for your father's debt. Come! Let me show you my tablets!"""
um-ma šu-be-lúm-ma we-da-am i-a-tí tù-la-ma-da-ni qá-dum a-he-a-ma šé-a-ni,"Šu-Bēlum answered: ""You inform me alone. Sue me together with my brothers."""
IGI PUZUR4-a-šùr IGI en-na-nim a-na a-wa-tim a-ni-a-tim kà-ru-um kà-ni-iš <gap> i-dí-ni-a-tí-ma IGI GÍR ša a-šùr ṭup-pá-am ša ší-bu-tí-ni ni-dí-in,"Witnessed by Puzur-Aššur, by Ennānum. The Kanesh colony gave us for these proceedings and we gave a tablet with our testimony before the dagger of Aššur."
a-pu-tum ri-iš lu-qú-tim ša DAM.GÀR ša-ṣí-ir,"Urgent, guard the goods of the merchant;"
ú a ma-lá tí-ir-tí-kà um-ma a-ta-ma ṣú-ba-tù an-hu-tum i-ba-ší-ú a-pu-tum i-na ša-am-ší ṭup-pí-i ta-ša-me-ú i-na hu-ur-ší-im ša ib-ri-im a-ta ù i-lá-áš-ra-ni ṣú-ba-tí kà-lá-šu-nu-ma na-pí-ša-ma 3 u4-me-e ù 5 u4-me-e li-bi-ší-ú-ma šu-ta-áb-lá-ki-ta-šu-nu,"and with regard to your message where you said: ""There are some old textiles"" - urgent, the very day you hear my letter you and Ilī-ašrannī should air all of the textiles in the store-room of a friend, and leave them for 3 or 5 days before you turn them over."
ma-ma-an ša-ni-am lá tù-ṭá-ha-a a-dí 10 u4-me-e lá ta-ha-ta-ar,Do not let anyone else approach (them). Do not hesitate for 10 days!
a-ṣé-er e-ni-ša-ri-im a-dí AN.NA-ki-kà ú-ṣú-ur-ša-IŠTAR áš-ta-pá-ar,I have sent Uṣur-ša-Ištar to Enišārum concerning your tin.
iš-tù za-al-pá i-tù-ru-nim a-lá-ha-am a-ṭá-ra-dam,"When they come back from Zalpa, I shall send Ali-ahum."
½ ma-na KÙ.BABBAR ṣa-ru-pá-am ú ša 3 GÍN sà-hi-ir-tám ku-nu-ki-a ili5-tù-ra-am ú-šé-bi4-lá-kum-ma 17 GÍN KÙ.BABBAR ṣa-ru-pá-am ku-nu-ki-a ší-im ṣú-ba-tí-kà id-na-a ú a-lu-wa na-áš-ú-ni-kum e-ma-ru-kà lu ak-lu,"I sent Ilī-tūram to you with ½ mina of refined silver and small goods worth 3 shekels under my seal, and Idnaya and Aluwa are bringing you 17 shekels of silver under my seal, the proceeds from your textiles. Your donkeys should be fed."
a-na ša-lim-a-šùr a-šùr-ma-lik DUMU lu-zi-na ù i-ku-pí-a qí-bi-ma um-ma ší-ša-ra ù IŠTAR-lá-ma-sí-ma,"To Šalim-Aššur, Aššur-malik son of Luzina and Ikūn-piya from Šišara and Ištar-lamassi:"
i-na 2 GÚ 10 ma-na KÙ.BABBAR ša šu-bé-lim en-na-sú-in a-nu-li ù kà-ku-a MAŠKIM i-na kà-ni-iš a-na na-ru-qí-kà ú ma-la a-bu-kà i-ší-ma-tí-šu il5-pu-tù-kà-ma ta-mì-ig-ra-ni 2 GÚ 10 ma-na KÙ.BABBAR ṣa-ru-pá-am i-na a-lim{ki} ša-qá-lá-am qá-bi-a-tí-ni ša-du-a-tám ni-is-ha-tim ša-lim-a-šùr ù-ma-lá ù KÙ.BABBAR a-šu-mì ša-lim-a-šùr GÁN-lam5,"Of the 2 talents 10 minas of silver, on which you agreed (with?) Šu-Bēlum Enna-Suen, Anuli and Kakuwa, the attorney, for your joint-stock capital in Kanesh- also in accordance with what your father wrote for you in his will- (so that) you promised to pay 2 talents 10 minas of refined silver in the City- Šalim-Aššur will contribute the transport tariff and the import duty; also, the silver will cross overland in Šalim-Aššur's name-"
e-tí-iq i-na KÙ.BABBAR a-nim 37½ ma-na KÙ.BABBAR pí-lá-ah-IŠTAR DUMU ú-zu-a ub-lam 20 ma-na KÙ.BABBAR hi-na-a ub-lam 3 ma-na KÙ.BABBAR ku-zi-zi-a ub-lam 4 ma-na KÙ.BABBAR a-du-da ub-lam ší-tí KÙ.BABBAR 58½ ma-na KÙ.BABBAR ṣa-ru-pu-um,out of this silver Pilah-Ištar son of Uzuwa brought 37 ½ minas of silver; Hinnaya brought 20 minas of silver; Kuziziya brought 3 minas of silver; Aduda brought 4 minas of silver; the rest of the silver amounts to 58 ½ minas of refined silver.
ù ší-bi šu-ku-šu-um ki-ma a-šu-mì ša-lim-a-šùr GÁN-lam KÙ.BABBAR e-tí-qá-ni ša-du-a-tám ú ni-is-ha-tim šál-ma-a-š,"Further, Šu-Kūbum is not reliable. He must return whatever silver he has taken. He has been expelled in accordance with a verdict of the City and the attorneys."
1⅓ ma-na 2 GÍN KÙ.BABBAR a-šu-mì ku-li-a DUMU a-lá-bi-im a-na a-šur-ma-lik DUMU ku-ra-ra-áš-qúl,"1 ⅓ mina and 2 shekels of silver on behalf of Kuliya, son of Ali-abum, I paid to Aššur-mālik son of Kurara."
i-na a-lá-ak DUMU a-na-<gap> ú MAŠKIM ša ì-lí-pí-ú-ṣur KÙ.BABBAR i-ša-qú-lu-ni-ma i-li ú-ša-ar,When Ana <gap> 's son and Ilī-pī-uṣur's attorney come here they will pay me the silver and I will release the gods.
ša DUB-pá-am i-mu-a-at šu-ma KÙ.BABBAR lá iš-ta-aq-lu KÙ.BABBAR ú ṣí-ba-sú a-li ni-na-mu-ru ku-li-a i-ša-qá-lam,"As for the tablet, it will be cancelled. Should they not pay the silver, then Kuliya will pay me the silver and the interest on it wherever we meet."
ITU.KAM kán-mar-ta li-mu-um a-šùr-SIPA DUMU ì-lí-e-mu-qí,"Month 9, eponymy of Aššur-rē'ī, son of Ilī-emūqī."
i-nu-mì KÙ.BABBAR áš-qú-lu e-na-a-šùr ú a-mur-{d}UTU DUMU ili5-pì-ú-ṣur be-ru-ú i-zi-zu,"When I paid the silver Ennam-Aššur and Amur-Šamaš, son of Ilī-pī-uṣur, acted as bērū."
