transliteration,translation
a-šur-SIPA i-šu-ú,Libbaya owes Aššur-rēʾī 1 talent 16 minas refined silver.
iš-tù ḫa-muš-tim ša MAR.TU-ba-ni ù i-ku-nim a-na 25 ḫa-am-ša-tim i-ša-qal šu-ma i-na u4-mì-šu ma-al-ú-tim lá iš-qúl 1.5 GÍN.TA i-na ITU.KAM-im a-na 1 ma-na-im ṣí-ib-tám,He will pay 25 weeks from the ḫamuštum of Amurrum-bāni and Ikūnim.
ú-ṣa-áb ta-aḫ-sí-is-tum a-ni-tum me-eḫ-ra-at ṭup-pì-im ḫa-ar-mì-im ša ḫu-bu-ul li-ba-a DUMU ú-zu-a-a,"If he does not pay on time, he will add 1 1/2 shekels per mina per month as interest."
a-na É šál-ma-a-šùr a-na a-wa-tim né-ru-ub-ma,"We entered Šalim-Aššur's house to settle the case,"
um-ma šál-ma-a-šùr-ma i-a-tí a-na bu-ru-uš-ḫa-dim i-na ma-ak-sú-e-im a-na ḫu-bu-ul ÌR a-bu-ša-lim ša-qá-lim i-ra-de8-ú-ni a-ta 30 {TÚG}ku-ta-ni ù ANŠE ṣa-lá-ma-am ša ÌR ta-lá-qé-e,"and Šalim-Aššur said: ""While they are going to lead me personally to Burušhaddum in fetters to pay the debt of the slave Abu-šalim, will you on the other hand take 30 kutānu-textiles and a black donkey from the slave?"""
um-ma šu-be-lúm-ma ke-na ša ÌR-dí-a a-bu-ša-lim al-qé ša-lim-a-šur ša ni-iš a-lim{ki} úz-na-tí-ni il5-pu-ut,"Šu-Bēlum answered: ""Yes, I have taken what belongs to my slave Abu-šalim."" Šalim-Aššur impressed on us what had been sworn by the City, and Šalim-Aššur said:"
um-ma ša-lim-a-šur-ma a-šar ÌR a-na ÌR-dí-kà lá i-tù-ru-ú ma-a a-na ÌR-dí-a i-tù-wa-ar,"and Šalim-Aššur said: ""In case the slave does not raise claim against your slave, then, will he raise claims against my slave?"" "
um-ma šu-be-lúm-ma šu-ma a-na ku-a-im i-tù-a-ar a-na TÚG.ḪI.A ù ANŠE.ḪI.A a-za-za-kum,"Šu-Bēlum answered: ""If he raises claim against yours, then I guarantee for the textiles and the donkey for you."""
a-na a-wa-tim a-ni-a-tim kà-ru-um kà-ni-iš i-dí-ni-a-tí-ma IGI GÍR ša a-šùr ší-bu-tí-ni ni-dí-in,"The Kanesh colony gave us for these proceedings, and we gave our testimony before Aššur's dagger."
IGI ú-ra-a IGI ì-lí-dan IGI ma-ni-um-ba-lúm-a-šùr,"Witnessed by Uraya, by Ilī-dan, by Man-num-balum-Aššur. "
KIŠIB a-šur-DU10 DUMU šu-IŠTAR KIŠIB a-šur-ni-šu DUMU dan-a-šur KIŠIB i-dí-a DUMU e-na-a-šur KIŠIB ḫu-tí-lá DUMU a-kà-a 14,"Seals of Aššur-ṭab s. Šū-Ištar, Aššur-nīšu s. Dān-Aššur, Idia s. Ennam-Aššur, and Ḫudila s. Aka"
GÍN KÙ.BABBAR ṣa-ru-pá-am i-ṣé-er i-dí-a DUMU e-na-a-šur ù ḫu-tí-la DUMU a-ga-a DAM.GÀR i-šu,Idia s. Ennam-Aššur and Ḫudila s. Aka owe the merchant 14 shekels refined silver.
iš-tù ḫa-mu-uš-tim ša a-šur-ma-lik DUMU sú-kà-li-a a-na 3 ḫa-am-ša-tim i-ša-qú-lu,They will pay three weeks from the ḫamuštum of Aššur-mālik s. Sukkallīya.
šu-ma lá iš-qú-lu ki-ma a-wa-at kà-ri-im 1.5 GÍN.TA a-na 1 ma-na-im i-na ITU.KAM-im ṣí-ib-tám ú-ṣú-bu KÙ.BABBAR i-na qá-qá-ad šál-mì-šu-nu ù ke-ni-šu-nu ra-ki-is,"If they does not pay (on time), they will add 1 1/2 shekels per min per month as interest at the rate of the colony."
ITU.KAM qá-ra-a-tum,Month: Qarrātum
li-mu-um i-na-sú-en6 DUMU šu-a-šur,Eponymate: Enna-Suen s. Šū-Aššur
za-am-RI-wa-tí 2.83333 ma-na KÙ.BABBAR 6 GÍN KÙ.BABBAR a-na e-me-ri mì-ma a-nu-um i-na qá-ṭá-ra a-dí-in 1,"50 , 2 5/6 minas of silver, 6 shekels of silver for sheep, all this I gave in Qaṭṭara."
qá e-lu-um ša-ḫa-bi-<gap>-um a-na a-lá-a-da i ga-ša-da 17,1 sila of fine (oil) of ... for Ala-adda ...;
za-am-RI-wa-tí i-na na-ší-lá a-na e-lá-tí a-dí-in,[I gave] 17  for the caravan in Našila.
<gap>-tum 3 qá re-e-tum <gap> qá e-lu-um 26 ni-<gap> tum <gap> tum,"...-tum 3 silas of top-quality (oil), x silas high-quality (oil), 26 ni-... (broken)."
6 za-am-RI-wa-tí i-<gap> i ḫa-zu-ra mì-ma a-nim a-na e-lá-tí a-dí-in,"...-tum, 6 , in Ḫazura, all this I gave to the caravan."
ma-na KÙ.BABBAR ṣa-ru-pá-am i-ṣé-er DU10-ṣí-lá-a-šur bu-za-zu i-šu,Ṭāb-šill-Aššur owes Buzāzu 5 minas refined silver.
iš-tù ḫa-muš-tim ša i-dí-a-bi-im DUMU a-šur-GAL ITU.KAM áb-ša-ra-ni li-mu-um ma-ṣí-ì-lí a-na 40 ḫa-am-ša-tim i-ša-qal,"He will pay 40 weeks from the ḫamuštum of Iddin-abum s. Aššur-rabi, month of Ab-šarrānē, year of Maṣi-ilī."
šu-ma lá iš-qúl 1.5 GÍN.TA i-na ITU.1.KAM-im a-na 1 ma-na-im ṣí-ib-tám ú-ṣa-áb,"If he does not pay (on time), he will add 1 1/2 shekels per mina per month as interest."
É-be-tum,The house ...
GÍN KÙ.BABBAR ší-im e-ma-ri-im 30 ma-na URUDU IŠTAR-pí-lá-aḫ a-na ar-be-e-šu <gap> ù-kà-pu-ú ša-pì-ú-tim 9 ma-na URUDU SIG5 i ší-im sú-ub-ri-im 1 ma-na URUDU ší-kam iš-tí DUMU IŠTAR-ba-ni 2 kà-ar-pát kà-mu-nu mì-ma a-nim i-na du-ur-ḫu-mì-it i-ba-ší 10,"17 shekels of silver, the price of a donkey, 30 minas of copper of Ištar-pilah, 4 sets of thick saddleclothes, 9 minas of refned copper from the price of a slave, 1 mina of šikku-copper with the son of Ištar-bāni, 2 jars of cumin - all this is available in Durhumit."
pí-ri-kà-nu 1 GÚ SÍG.ḪI.A 2 ú-kà-pé-e 80 lu-ur-ma-tum 10 ma-na Ì.GIŠ sà-ar-dam sà-áp-tí-nam ni-ib-ra-ra-am 2 ší-it-re-e ša za-al-pá 2 e-ma-re ú ù-nu-sú-nu mì-ma a-nim a-na a-šùr-i-mì-tí a-dí-in,"10 pirikannu-textiles, 1 talent of wool, 2 saddle-rugs, 80 pomegranates, 10 minas of olive oil, a saptinnu - and a nibrāru-textile, 2 scarfs from Zalpa, 2 donkeys with their harness - all this I gave to Aššur-imittī."
um-ma šu-ḫu-bu-ur a-šur-ba-ni ù ša-lim-a-šur-ma a-na pu-šu-ke-en6 qí-bi-ma 1.3333300000000001,"From Šū-Ḫubur, Aššur-bāni and Šalim-Aššur to Pūšu-kēn:"
ma-na KÙ.BABBAR qá-tí um-mì-a-ni-ma né-ru-ub-ma i-na KÙ.BABBAR ša a-šur-UTU-ši ni-il5-qé,1 1/3 minas silver the account of the investors we 'entered' and from the silver which Aššur-Šamšī took (where is the subjunctive form?)
lu na-ru-qum lu mì-ma a-ma-kam lá-qé-ep ù a-šur-UTU-ši,Both the 
DINGIR-<gap> na-áš-a-kum,... Ili-(?) ...
GÍN KÙ.BABBAR i-ṣé-er bu-li-a 0.33333,Buliya owes (someone) 14 shekels silver.
ma-na KÙ.BABBAR i-ṣé-er en-na-nim 15,Ennānum owes (someone) 1/3 mina silver.
GÍN KÙ.BABBAR i-ṣé-er a-ni-a 13,Aniya owes (someone) 15 shekels silver.
GÍN KÙ.BABBAR i-ṣé-er šu-ku-bi4-im 0.33333,Šū-Kūbum owes (someone) 13 shekels silver
ma-na 2.5 GÍN KÙ.BABBAR i-ṣé-er {d}IŠKUR-ma-lik,Adad-māalik owes (someone) 22 1/2 shekels silver.
i-ṣé-er a-šur-ma-lik tám-kà-ru-um i-šu iš-tù ḫa-mu-uš-tim ša a-šur-ta-ak-lá-ku ú e-me-me,Aššur-mālik the merchant owes 28 minas washed/refined copper.
a-na 7 ḫa-am-ša-tim i-ša-qal šu-ma lá iš-qú-ul,From the ḫamuštum of Aššur-taklāku and Ememe he has seven weeks to pay.
ki-ma a-wa-at kà-ri-im ṣí-ib-tám ú-ṣa-áb ITU.KAM ṣí-ib-im,If he does not pay the matter of the colony will be added in interest.
li-mu-um a-šur-na-da IGI a-šur-na-da DUMU e-na-ma-a IGI pì-lá-aḫ-IŠTAR,"Month: Ṣí-ib-im, Eponymate: Aššur-nādā"
ma-na KÙ.BABBAR ṣa-ru-pá-am i-ṣé-er da-da-a i-ku-pì-a i-šu,Dadaya owes Ikuppiya 10 minas refined silver.
iš-tù ḫa-muš-uš-tim ša in-na-a-šur a-na 6 ḫa-am-ša-tim i-ša-qal,He will pay six weeks from the ḫamuštum of in-na-a-šur
šu-ma lá iš-qú-ul <gap> 1.5 GÍN.TA ṣí-ib-tám a-na 1 ma-na-em i-na ITU.1.KAM ú-ṣa-áb,"If he does not pay (on time), he will add 1 1/2 shekels per mina per month as interest."
ITU.1.KAM té-i-na-tim,Month: Teʾinātim.
li-mu-um ì-lí-dan,Eponymate: Ilī-dān.
IGI a-šur-du-ri IGI a-bu-ša-lim,"Witnesses: Aššur-dūrī, Abu-šalim."
ma-na KÙ.BABBAR ṣa-ru-pá-am i-ṣé-er ma-ṣí-ì-lí sú-kà-lí-a i-šu,Maṣi-ilī owes Sukkallīya 31 minas refined silver.
iš-tù ḫa-mu-uš-tim ša {d}UTU.SIPA a-na 28 ḫa-am-ša-tim i-ša-qal,He will pay 28 ḫamuštum weeks from the ḫamuštum of Šamaš-rēʾī.
šu-ma la iš-qú-ul a-na 1 ma-na.TA 1.5 GÍN.TA ṣí-ib-tám ú-ṣa-áb IGI {d}a-nu-<gap> IGI en-na-sú-en6,"If he does not pay (on time), he will add 1 1/2 shekels per mina (per month) as interest."
pu-šu-ke-en6 a-na ḫu-ra-ṣa-nim iṣ-ba-at-ni-a-tí-ma,Pūšu-kēn seized us against Ḫuraṣānum:
um-ma pu-šu-ke-en6-ma a ḫu-ra-ṣa-nim-ma 1 GÚ 14 ma-na LÁ 10 GÍN AN.NA ù 2.6666600000000003 ma-na 1 GÍN KÙ.BABBAR i li-bi4-kà,Pūšu-kēn said to Huraṣānum: You owe me 1 talent 13 minas 50 shekels tin and 2 minas 41 shekels silver.
um-ma ḫu-ra-ṣa-num-ma ke-na i li-bi4-a i-na a-lá-ak i-ku-pì-a KÙ.BABBAR-áp-kà a-ša-qá-lá-kum,Ḫuraṣānum responded: It is true. I owe you. I will pay your silver to you when Ikuppiya arrives.
a-na a-wa-tim a-ni-a-tim kà-ru-um kà-ni-iš i-dí-ni-a-tí-ma IGI GÍR ša a-šur ší-bu-tí-ni ni-dí-in,"For this matter, the colony at Kanesh gave us permission, and we gave our testimonies before the dagger of Aššur."
IGI aḫ-ša-lim DUMU šu-a-nim IGI ku-ra-ra IGI i-ku-pì-a-šur,"Witnesses: Aḫ-šalim s. Šū-Anum, Kurara, Ikuppī-Aššur."
kà-ru-um dí-nam i-dí-in-ma ša-lim-a-šùr ṭup-pu-šu a ší-bi-šu ma-lá KÙ.BABBAR a-na ḫu-bu-ul i-dí-a-bi-im ú-ša-qí-lu ŠU.NÍGIN KÙ.BABBAR a-na me-er-e i-dí-a-bi-im i-qá-bi um-ma šu-ut-ma KÙ.BABBAR a-nim a-ḫa-a ú-ša-qí-il5,"The colony has passed a verdict stating that Šalim-Aššur must mention to the sons of Iddin-abum his tablets for his witnesses to how much silver-all the silver-he has paid to cover Iddin-Abum's debt. He is to say:""This silver I paid in different places."""
um-ma a-šùr-na-da ù ì-lí-a-lúm-ma a-na a-šùr-ta-ak-lá-ku qí-bi-ma 18,From Aššur-nādā and Ilī-ālum to Aššur-taklāku:
{TÚG}ku-ta-nu 15 TÚG ša a-ki-dí-e 1 ANŠE ṣa-lá-mu-um 9.33333 ma-na 9 GÍN AN.NA ša ik-ri-bi4-ni 34.66666 ma-na AN.NA ša ik-ri-bi4 ša a-ḫa-a tù-bi4-il5 ŠÀ.BA 7 GÚ URUDU ù 1 ANŠE tù-šé-bi4-lam 17 GÍN KÙ.BABBAR a-na ik-ri-bi4 a-dí ší-tí lu-qú-tim a-ki-a-ma i-na pá-ni-ú-tim-ma šé-bi4-lam gám-ra-am ù ta-ší-a-tim a-ḫa-am a-na a-ḫi-im lá ta-kà-ba-as 49 TÚG šu-ru-tum 53 ma-na 1 GÍN AN.NA 1 ma-na KÙ.BABBAR ší-im 1 ANŠE ša a-bi4-ni al-qé-ma i-na ší-im ANŠE.ḪI.A ša ša-lim-be-li ir-de8-a-ku-ni ba-lu-ṭá-ku 10 GÍN KÙ.BABBAR ta-na-pá-lam5 3 ANŠE ṣa-lá-mu ša i-na šé-pì-kà ta-ar-de8-ú 1 GÚ AN.NA ku-nu-ku ša a-na a-lá-ḫi-im lá-áp-tù 2 TÚG šu-re-en6 ša a ni-kà-sí té-zi-ba-ni lá a-tí-dí-i i-na i-a-ú-tim li-qé mì-ma a-nim ša a-bi4-ni 1 {TÚG}ku-ta-num ša um-mì-a-ni na-áš-a-tí ší-im 3 ANŠE.ḪI.A DINGIR-na-da iš-qú-ul-ma a-na a-bi4-ni na-áš-a-ku 9 {TÚG}ku-ta-nu ša ì-lí-a-lim ŠÀ.BA 1 TÚG ša i-dí-IŠTAR a-na ì-lí-a-lim i-za-az 15 TÚG šu-ru-tum 12 ma-na 8 GÍN AN.NA 8 TÚG ša a-ki-dí-e 1 ANŠE ṣa-lá-mu-um ša ì-lí-a-lim 7 {TÚG}tí-sà-pu 3 maš-ku ša-pì-ú-tum SIG5 10 GÍN KÙ.BABBAR ša ta-lá-pá-lá-ni i-a-ú-tum mi-ma a-nu-um na-áš-a-tí a-pu-tum URUDU-šu 1 GÍN.TA ù 2 GÍN.TA ku-bu-us-ma KÙ.BABBAR 10 ma-na.TA na-ší-ra-am ù a-ta qá-qá-ad-kà šu-ul-ḫa-am sí-kà-tum a-na šu-mì lá sà-ḫa-ri-kà AN.NA ú-lá uš-té-bi4-lá-kum,"You brought 18 kutānu-textiles, 15 Akkadian textiles, 1 black donkey, 9 1/3 minas 9 shekels of tin from our votive offerings, (and) 34 2/3 minas of tin from the votive offerings of Ahaya."
um-ma a-šùr-i-dí-ma a-na a-šùr-na-da qí-bi4-ma,From Aššur-idī to Aššur-nādā:
ta-li-kam-ma a-dí 5-ší-šu ù šé-ší-šu tù-pá-šé-er ù kà-ki ša a-šùr ù a-šu-ri-tim im-ḫu-ṣú-kà-ma ù tù-pá-šé-er um-ma a-ta-ma i-na ṣé-ri-šu le-mu-ru ša a-wa-at ì-lí a-na ša ta-ni-iš-tim i-ša-ku-nu a-dí-ni lá tù-ṣí ṣú-ḫu-ur-kà a-na ú-ri-im kà-šu-ud tù-lá-kà i-a-tí ta-áš-ḫu-ut-ma ú i-na ri-im ṣú-ùḫ-ri-ma a-zu-áb a-šùr ù a-šu-ri-tum uš-ta-na-ú-du-kà um-ma šu-nu-ma lá-am-na-tim i-na li-bi4-šu e-ta-wu li-bu-šu lá iš-ru-ni-ku-um qá-sú na-ba-al-ku-ta-at kà-lá a-wa-tim ša ì-lí e-ta-wu-ni-ku-um a-wa-tim ša be-tí-ni a-dí a-sú-ri-ma ta-am-tí-ší um-ma DINGIR-lu-ma a-wa-tí-ni ú-lá im-tù-a a-pu-tum a-wa-at ì-lí ú-ṣú-ur šu-ma lá ta-ṣú-ur ta-ḫa-li-iq i-na pá-ni-tim lu-mu-un li-bi4-a ma-ad ù li-ba-kà i-de8 um-ma a-na-ku-ma ù-um-šu-ma ṣa-ḫe-er ù a-wa-at ì-lí iš-té-me li-ba-kà lá ú-la-mì-in,After you came here you have broken your promises five or six times!
qí-bi4-ma um-ma sú-li-ma a-ḫu-ú-a a-tù-nu i ša-am-ší ṭup-pì-i ta-ša-me-a-ni am-tám a pá-ni-ku-nu zu-ki-ša-ma ba-tí-iq DIRI a ší-mì-im dí-na-ma lu ša-áp-tám lu maš-ki lu pì-ra-kà-ni i ší-mì-ša li-qé-a-nim ú a-d-i URUDU ša É.GAL-lim iḫ-da-ma ša-áš-qí-lá a-na ku-zu,"To Šū-Bēlim and Kuzu, from Zuli:"
qí-bi4-ma a-dí am-tám a-na ší-mì-im lá ta-dí-nu,To Kuzu:
a-ṣé-ri-a lá ta-lá-kam,Do not come to me until you have sold the maid.
KIŠIB tù-tù-ú DUMU ba-zi-a KIŠIB ú-ṣú-ur-ša-IŠTAR KIŠIB i-šar-a-šur DUMU a-šur-GAL,"Seal of Dudu s. Baziya, seal of Uṣur-ša-Ištar, seal of Išar-Aššur s. Aššur-rabi."
ša ḫu-bu-ul i-šar-a-šur DUMU a-šur-GAL 1.5 GÍN KÙ.GI pá-ša-lam5 iš-tù SAG ITU.KAM té-i-na-tim a-na e-tí-šu i-ša-qal,"Regarding the debt of Išar-Aššur s. Aššur-rabi, he will pay 1 1/2 shekels pašallum-gold from the beginning of the month of Tē'inātum upon notice."
li-mu-um i-dí-a-šur DUMU ku-bi-dí,Limmuship of Idī-Ašsur s. Kubi-idī (REL 81).
KIŠIB ir-ma-a-šùr DUMU ni-dí-ba-ni KIŠIB a-ḫu-wa-qar DUMU šu-IŠTAR KIŠIB a-šur-DUG DUMU ì-lí-dan 15,"Seals: Irma-Aššūr s. Idi-bāni, Aḫu-waqar s. Šū-Ištar, Aššur-ṭāb s. Ilī-dān"
ma-na AN.NA za-ku-um i-ṣé-er a-šur-DUG DUMU ì-lí-dan DAM.GÀR i-šu,Aššur-ṭāb s. Ilī-dān owes the merchant 15 minas clear tin.
iš-tù ḫa-muš-tim ša im-dí-DINGIR ù {d}UTU-ba-ni ITU.KAM ma-ḫu-ur-ì-lí li-mu-um ša qá-tí i-dí-a-bi-im DUMU na-ar-bi4-tim a-na 16 ḫa-am-ša-tim i-ša-qal,"He will pay 16 ḫamuštum weeks from the ḫamuštum of Imdi-ilum and Šamaš-bāni, month of Maḫur-ilī, eponymate after Iddin-abim s. Narbitum."
šu-ma lá ìš-qú-ul a-na ma-na-im 1.5 GÍN.TA i ITU.KAM ṣí-ib-tám ú-ṣa-áb i-nu-mì zu-zu-wa iš-tù a-lim{ki} e-li-a-ni a-šur-DUG ú-lá i-qá-bi um-ma šu-ut-ma u4-mu-a a-ḫu-ru AN.NA a-na DAM.GÀR ri-im i-ša-qal <gap>,"If he does not pay (on time), he will add interest at the rate of 1 1/2 shekels per mina per month."
ma-na 6 GÍN KÙ.BABBAR ṣa-ru-pá-am i-ṣé-er im-li-kà-a ma-da-wa-da tí-šu iš-tù ḫa-mu-uš-tim ša šu-ku-bi-im ù ga-zi-a a-na bu-ru-uš-ḫa-dum i-na e-ra-bi4-šu 0.5 ma-na KÙ.BABBAR ú-šé-ba-lá-am 1 ma-na 16 GÍN KÙ.BABBAR a-na 7 ITU.KAM i-ša-qal,Imlikaya owes Madawada 1 2/3 minas 6 shekels refined silver.
šu-ma lá iš-qú-ul ki-ma a-wa-at kà-ri-im ṣí-ib-tám ú-ṣa-áb,If he does not pay the word of the colony will be added in interest.
ITU.KAM kán-wa-ar-ta li-mu-um i-dí-a-bu-um,"Month: Kanwarta, Eponymate: Iddin-abum"
IGI ḫu-bi4-da-am IGI in-ba-a-šur,"Witnesses: Ḫu-bi₄-da-am, Inab-Aššur"
ki-ša KÙ.BABBAR i pu-uz-ri-im mì-ma a-ṣé-ri-a lá tù-šé-bi-lam,"Apparently, you sent some silver to me surrepticiously."
a-ḫi a-ta KÙ.BABBAR ša a-na É-bé-tí áš-qú-lu KÙ.BABBAR-pì a-na É-bé-tí šé-bi-lam,"My dear brother, send the silver which I paid out for the houses, my silver for the houses."
a-na <gap>-e É ma-ma-an,... house ... someone? ...
ma-na KÙ.BABBAR ṣa-ru-pá-am en-um-a-šùr DUMU sú-in-na-da 5.33333 ma-na KÙ.BABBAR ṣa-ru-pá-am sú-in-na-da me-ra-šu il5-qé-ú i-na ší-im <gap> IGI a-šùr-i-mì-tí IGI iš-me-DINGIR IGI bi-<gap> DUMU,"Ennam-Aššur son of Suen-nādā has received 13 minas of refined silver, and Suen-nādā his son has received 5 1/3 minas of refined silver from the proceeds of Ušinalam's wool. "
ḫa-na-ni-a IGI DINGIR.SIPA DUMU ša-ak-ṣí-im,"Witnessed by Aššur-imittī, by Išme-ilum, by Bi... son of Hannāniya, by Ili-rē'ī son of Šakşum. "
ku-ku-la-num i-šu iš-tù ḫa-mu-uš-tim ša {d}UTU-ba-ni ù a-šùr-iš-ta-ki-il5 a-na 26 ḫa-am-ša-tim,Aguza and his sons owe Kukulānum 2/3 minas refined silver.
i-ša-qú-lu šu-ma la iš-qú-lu <gap> 1.5 GÍN.TA i-na ITU.KAM-im a-na 1 ma-na-im ṣí-ib-tám,They will pay 26 ḫamuštum weeks from the ḫamuštum of Šamaš-bāni and Aššuriš-takil.
ú-ṣú-bu,"If they do not pay (on time), they will add 1 1/2 shekels per mina per month."
ITU.KAM ku-zal-li,Month: Kuzalli.
li-mu-um e-la-lí IGI DUG-ì-lí IGI a-šur-SIPA IGI ṣí-lu-lu IGI en-LÍL-ba-ni,Eponymate: Elāli.
GÍN KÙ.BABBAR i-ṣé-er <gap>-a-šur DAM.GÀR i-šu,--a-šur owes the merchant 4 shekels silver. 
ITU.KAM a-lá-na-tim a-na ITU.KAM i-ša-qal,He will pay one month (from) the month of Allanātum.
šu-ma lá iš-qúl 0.33333 GÍN.TA i-na ITU.KAM ú-ṣa-áb,"If he does not pay, he will add (as interest) 1/3 shekel per month."
li-mu-um a-šùr-na-da,Eponymate: Aššur-nādā.
ḫa-mu-uš-tum ša qá-té kà-ar-wa-a,Ḫamuštum: The week after Qarwāya.
IGI a-šur-i-dí,Witnesses: Aššsur-idī
um-ma a-šùr-i-dí a-na ì-lí-a-lim a-šùr-ta-ak-lá-ku qí-bi4-ma a-na ì-lí-a-lim qí-bi4-ma,From Aššur-idī to Ilī-ālum and Aššur-taklāku; to Ilī-ālum:
šé-ni-šu wa-dí té-pu-ša-ni ta-áš-li-ša-ni,"You know, twice you did this to me; now you have done it a third time!"
be-el-kà ta-áp-lá-aḫ-ma KÙ.BABBAR lá šé-bi4-lá-am,Did you respect your lord when you did not send me the silver?
a-li-ku a-dí šé-ni-šu i-lu-ku-ni-ma ú-lá ta-al-qé-ma 10 ma-na KÙ.BABBAR lá šé-bi4-lam,"Travelers have come here at least twice, but you had acquired nothing and you have not sent me the 10 minas of silver."
ša 1 ma-na.TA ù 0.5 ma-na wa-ar-ki-a i-sà-ḫu-ru,For every mina or half mina they prowl around me.
a-ma ú-ṣú-ur-ša-a-šùr qá-tám,Ask Usur-ša-Aššur there!
a-pu-tum i-na 1 a-li-ki-im ší-tí KÙ.BABBAR-pì-a šé-bi4-lam 40,"Please, send the rest of my silver with the caravan!"
