oa,english
"a-ma-lá dí-in kà-ri-im K[à-n]i-iš TUR GAL En-um-[i]-lí DUB.SAR iṣ-b[a-a]t-ni-a-tí-ma","In accordance with the verdict of the plenary Kanesh colony Ennam-ilī, the scribe, seized us"
"a-na É E-lá-ma né-ru-ub-ma: ku-nu-ki ša ma-ak-na-ki-im ni-iš-[ru]-ma: i-na ma-ak-na-ki-im né-zi-ib","whereupon we entered Elamma's house and broke the seals of the sealed room and we left (them) in the sealed room."
"a-na 2-šu ta-ma-lá-ki-šu ša ṭup-[pé] A-ku-ú-a DUMU B[a-z]i-a il-qé","Two boxes with tablets Akūa, son of B[aziya] took."
"IGI Ma-sà-a DUMU A-šùr-ni-im-ri IGI Ma-ṣí-i-lí DUMU Bu-zu-zi-im IGI A-mur-A-šùr DUMU A-šùr-DÙG","Witnessed by Masaya, son of Aššur-nimrī, by Maṣi-ilī, son of Buzuzum, by Amur-Aššur, son of Aššur-ṭāb."
"um-ma Hi-na-a-ma: a-na Kar-wa-a ù Pu-šu-ke-en6 qí-bi-ma: a-na KÙ.B. ša AN.NA ša li-bi4 E-lá-ma: ù a-na 10 ma-na-e: ša a-<gap> ša tám-kà-ar <gap> [x x i]b: i[š7- x x x x]","Thus Hinnāya, say to Karwāya and Pūšu-kēn: ""For the silver of the tin, which is owed by Elamma, and for the 10 minas, which <gap>, which the agent <gap> <gap>"
"4 GÚ AN.NA ša Hi-na-[a] i-na É Hi-na-a E-lá-ma ù A-šur-na-da a-na 3-ší-šu i-zu-zu-ma","Four talents of tin of Hinnāya Elamma and Aššur-nādā divided into three in Hinnāya's house and"
"1 GÚ 20 ma-na AN.NA E-lá-ma il5-qé 1 GÚ 22 ma-na AN.NA A-šur-na-da il5-qé","1 talent 20 minas of tin Elamma took, 1 talent 22 minas of tin Aššur-nādā took,"
"1 GÚ 20 ma-na AN.NA qá-sú ša Kàr-wa-a E-lá-ma A-šur-na-da ù A-šur-dan a-na Dur5-hu-mì-it a-šé-er Kàr-wa-a ú-šé-bi4-lu","1 talent 20 minas of tin, Karwāya's share, Elamma Aššur-nādā and Aššur-dān sent to Durhumit, to the address of Karwāya."
"A-bu-ša-lim i-re-eš a-bi-šu: i-zi-iz","Abu-šalim assisted his father."
"iš-tù E-lá-ma: me-tù Hi-na-a: a-lam: im-hu-ur-[m]a ra-bi4-ṣa-am e-hu-úz-ma DUB-pá-am ša dí-in a-lim lu za-iz: AN.NA ša Hi-na-a lu DUMU a-wi-lim lu a-ša-at a-wi-lim lu kà-ṣa-ru-um lu ša i-re-eš a-wi-lim i-zi-zu lu ša i-na pí-i E-lá-ma ba-áb: né-be-ri-šu: iš-me-ú","After Elamma had died Hinnāya appealed to the City and contracted an attorney and (got) a tablet with a verdict of the City (stating): 'Whoever got a share of Hinnāya's tin, either the son of the gentleman, or his wife, or a harnesser, or who had assisted the gentleman, or who heard what Elamma declared when he was about to die <must testify>',"
"a-na kà-ri-im Kà-ni-iš ub-lam-ma a-ma-lá DUB-pì-im ša a-lim kà-ru-um Kà-ni-iš: i-dí-ni-a-tí-ma","(that tablet) he brought to the Kanesh colony, whereupon the Kanesh colony, in accordance with the tablet of the City, made us take the stand and"
"A-šur-na-da ša AN.NA iš-tí E-lá-ma i-zu-zu ú A-bu-ša-lim DUMU E-lá-ma ša i-re-eš a-bi4-šu i-zi-zu IGI GÍR ša A-šur ší-bu-tí-ni ni-dí-in","we – Aššur-nādā, who had divided the tin together with Elamma, and Abu-šalim, Elamma's son, who had assisted his father - before Aššur's dagger we gave our testimony."
"a-na um-me-a-né E-lá-ma ù ša ki-ma E-lá-ma qí-bi-ma um-ma A-šur-ṣú-lu-li: I-ku-pì-a A-šur-DÙG NIN.ŠUBUR-ba-ni I-dí-Ištar En-um-A-šur ù A-bu-ša-lim-ma","To the investors of Elamma and Elamma's representatives, this is what Aššur-ṣulūlī, Ikuppiya Aššur-ṭāb, Ilabrat-bāni, Iddin-Ištar, Ennam-Aššur and Abu-šalim say:"
"ta-áš-pu-ra-nim um-ma a-tù-nu-ma a-ma-kam É E-lá-ma ma-ṣa-ar-tám: pí-tí-a-ma lu KÙ.B. ma-lá i-ba-ší-ú lu URUDU: i-ba-ší ku-un-kà-ma šé-bi4-lá-nim","""You wrote us as follows: 'Over there, in Elamma's house open the strong room and put all silver and all copper there is under seal and send it here'."
"lá-ma NIN.ŠUBUR-ba-ni En-um-A-šur ù A-bu-ša-lim iš-tù Kà-ni-iš i-li-ku-ni-ni","Before Ilabrat-bāni, Ennam-Aššur and Abu-šalim had arrived here from Kanesh,"
"me-er-ú Hi-na-a ma-ṣa-ar-tám ip-té-ú-ma DUB-pá-am ha-ar-ma-am ša 12 ma-na KÙ.B. ša hu-bu-ul IŠKUR-ṣú-lu-li ù I-dí-Ištar DUMU A-šur-na-da","Hinnāya's sons had (already) opened the strong room and taken a valid debt-note for 12 minas of silver, recording the debt of Adad-ṣulūlī and Iddin-Ištar, son of Aššur-nādā,"
"il5-qé-ú: um-ma šu-nu-ma a-na a-wa-at um-me-a-né ma'-aṣ-a-ni: ki-ma ma-ṣa-ar-tám: ip-té-ú-ni 5: ṣa-ba-am: a-hi-ú-tim ú-šé-ri-bu-ma ú-ša-ak-ni-ku ù šu-nu iš-ti-šu-nu: ik-nu-ku","declaring: 'We take this responsibility at the order of the investors!' As soon as they had opened the strong room they made five men, outsiders, enter (the house) and seal it (again) and they themselves sealed (it) together with them."
"ki-ma ku-nu-ke ša A-šur-DÙG ù ša A-šur-ṣú-lu-li ip-té-ú-ni: a-šu-mì-ku-nu ni-ip-lá-ah-ma ma-ṣa-ar-tám: lá ni-ip-té","Since they had broken the seals of Aššur-ṭāb and Aššur-ṣulūlī we became afraid for your sake and we did not open the strong room (again)."
"a-na ša-a-li-ku-nu ni-iš-pu-ra-am","We wrote this letter to ask your instructions."
"i-na ša-am-ší DUB-pì-ni ta-ša-me-a-ni té-er-ta-ak-nu li-li-kam-ma ma-ṣa-ar-tám lu ni-ip-té","Let, as soon as your hear this letter of ours, an instruction of yours arrive here then we will open the strong room."
"ṣú-ha-ru lá i-sà-hu-ru","The boys must not tarry."
"I-dí-A-šur ù A-šur-ba-ni u4-ma-kál lá tù-ša-as-ha-ra","Do not cause Iddin-Aššur and Aššur-bāni to be delayed one single day!"
"½ ma-na 5 GÍN AN.NA 1½ ma-na.TA a-na Be-el-DÙG a-dí-in 5 hi-dim a-na LUGAL-IM 1½ ma-na.TA a-dí-in","35 shekels of tin (at) 1½ mina each I gave to Bēl-ṭāb; 5 beads I gave to Šarrum-Adad, (at) 1½ mina each;"
"4 hi-dim a-na nu-a-im a-dí-in 6 ma-na 5 GÍN URUDU iš-tí La-qé-ep","4 beads I gave to the Anatolian; 6 minas 5 shekels of copper due from La-qēp;"
"1⅔ [ma]-na 5 GÍN IGI [Me]-ra-lí i-dí-nam 4 ma-na 15 GÍN nu-ma-<lá>","1 mina 45 shekels he gave me in the presence of Merali; 4 minas 15 shekels we will compensate."
"<gap> ta ni-iš-um <gap> dí x bu ni-iš-[a-ma] 1½ ma-na KÙ.B.-kà iš-tí En-na-num","<gap>gift <gap> <gap> we bought and 1½ mina of your silver is due from Ennānum <gap>"
"<gap> x KU BI il5-qé-ú <gap> um-ma šu-ut-m[a] [x x x x x KÙ].B. i-n[a] <gap> x <gap> KÙ.B.","<gap> of silver he took <gap> he said: <gap>silver in <gap> <gap> silver."
"[DUM]U Dan-A-š[ùr x x x]","<gap> Dān-Aššur <gap>"
"[x ma]-na 1 GÍN KÙ.B. <gap>-A-šur DUMU Ša-lim-A-<gap>","<gap> mina(s) 1 shekel of silver [for ....]-Aššur, son of Šalim-A[.....];"
"<gap> 5 ma-na URUDU i-n[a] [a-ba-a]n ma-tim 1 GÍN KÙ.[B] [a-n]a Ú-ṣú-ur-ša-A-šur [D]UMU Da-mu-ma 2 me-at LÁ 5 URUDU a-na Lu-lu","<gap>5 minas of copper by the local weight; 1 shekel of silver for Uṣur-ša-Aššur, son of Damuma; 195 minas of copper for Lullu."
"mì-ma a-nim a-hu-bu-ul A-šur-DÙG A-šur-UTU e-pu-ul","All this Aššur-šamšī paid for the debt of Aššur-ṭāb."
"a-ha-ma 17 GÍN KÙ.B. [tù]-dí-na-tí[m] i-ša-am ½ <gap>-DU A-šur-UTU x x x]-a a-na A-šur-[DÙG] i-dí-in","Separately he bought for 17 shekels of silver dress-pins; ½ <gap> Aššur-šamšī <gap> gave to Aššur-ṭāb."
"a-ha-ma 2½ ma-na KÙ.B. ku-nu-ki ša A-šur-UTU a-na A-lá-hi-im a-na A-šur-DÙG ip-qí-id","Separately 2½ minas of silver under the seals of Aššur-šamšī Aššur-ṭāb entrusted to Ali-ahum."
"i-na KÙ.B. ša e-pu-lu <gap>2⅔ ma-na KÙ.B. [KI A]-lá-bi4-im DUMU Ma-nu-a [x m]a-na KI Pá-na-kà","Of the silver he paid <gap>2⅔ minas of silver are [with] Ali-abum, son of Manua, <gap> minas with Panaka."
"<gap> 5 ma-na URUDU ší-im ki-ra-nim [x x k]à-ší-im 31½ ma-[na] [ší-im ki]-ra-nim ú x <gap> <gap>-im KI DUMU <gap> <gap> URUDU KI <gap> <gap>","<gap>5 minas of copper, the price of wine [for?] the official, 31½ minas, [price of] wine and <gap> <gap>are with the son of <gap> <gap> copper with <gap> <gap>"
"[ P]uzur4-A-šur <gap>-ša-lim DUMU [ Pu]zur4-Ištar DUMU <gap> DUMU E-lá-ma Hi-na-a <gap>","<gap> Puzur-Aššur, <gap>-šalim, son of <gap> Puzur-Ištar, son of <gap>son of Elamma, Hinnāya <gap>"
"2 me-at ŠE-am i-na ṣí-im-dim ša BU-TIM a-lam šu-ut-ma ú-ma-lá iš-tí En-nam-A-šur","200 measures of barley - by the 3-sūtu-measure of <gap> he himself will complement (it in) the City - are with Ennam-Aššur."
"2 me 50 BANEŠ ŠE-am i-na ṣí-im-dim ša BU-TIM a-lam šu-ut-ma ú-ma-lá iš-tí A-ba-a","250 3-sūtu-measures of barley - by the 3-sūtu measure of <gap> he himself will complement (it in) the city - are with Abaya."
"[42] ŠE-am i-na ṣí-im-dim ša BU-TIM iš-tí A-šur-ta-ak-lá-ak","42 measures of barley, by the 3-sūtu-measure of <gap>, are with Aššur-taklāk."
"1 me-at 4 BANEŠ ŠE-am i-na ṣí-im-dim ša BU-TIM a-lam šu-ut-ma ú-ma-lá iš-tí A-ba-a","104 3-sūtu-measures of barley - by the 3-sūtu-measure of <gap> - he himself will complement (it in) the city - are with Abaya."
"a-né-ma i-ma-da-ad","He shall measure it out now."
"3 ṭup-pu-ú","Three tablets."
"8 BANEŠ ŠE-am KI E-wa-ar-nim","8 3-sūtu-measures of barley with Ewarnum;"
"50 BANEŠ ŠE-am a-lam5 šu-ut-ma ú-ma-lá KI En-nam-IM DUMU Šu-na-a","50 3-sūtu-measures of barley – he himself will complement (it in) the city - are with Ennam-Adad, son of Šunāya."
"[A-šur]-DÙG Šu-Ištar [ù] a-na-ku [lu né]-ta-wu [i-na Ta]-am-ni-a [ha-m]u-uš-tum [ša] A-šur-ba-ni","Aššur-ṭāb, Šu-Ištar and I myself, we will discuss in Tawiniya; the week eponymy of Aššur-bāni."
"[i]š-tù [ha-m]u-uš-tim [ša] E-lá-lí [ù A]-šur-iš-ta-kál [a]-na 6 <gap>","Reckoned from the week eponymy of Elalī and Aššuriš-tikal within 6 [weeks/months ...] <gap>"
"3½ ma-na 7 GÍN KÙ.B. qá-sú ša Ku-ni-lim","3 minas 37 shekels of silver the share of Kūn-ilum;"
"4 ½ ma-na <gap> GÍN [KÙ.B.] a-ha-ma [x ma-na KÙ.B.] ší-im 9 [ku-ta-ni] ù 2 šu-ru-tim","4½ minas <gap> shekels separately; x [minas of silver] the price of 9 kutānu-textiles and 2 dark textiles."
"21½ ma-na 2 GÍN KÙ.B. ší-im AN.NA ù TÚG.HI.A iz-ku-am ša É I1-li1-<gap>","21 minas 42 shekels of silver the price of tin and textiles that became available, of the house of Ili-<gap>."
"<gap> x <gap> GÍN [KÙ.B. i]t-bu-lu <gap> 1 GÍN it-ba-al <gap> 2 GÍN it-[ba-al/bu-lu]","<gap> cost <gap> shekels [of silver]; a <gap> cost 1 shekel; a/the <gap> cost 2 shekels;"
"<gap> 4 GÍN x <gap> [x x it]-bu-lu <gap> GÍN i[t-ba-al/bu-lu] a-na e-<gap> 15 ŠE a-šu-um-[ke] 1 UDU 1 GÍN it-b[a]-a[l]","<gap> 4 shekels <gap> cost; <gap> cost [x] shekels for <gap> [x shekels]; 15 grain for onions; 1 sheep cost 1 shekel."
"mì-ma a-nim i-ha-mu-uš-tim ša-KU-ul","All this was consumed/paid during/from the hamuštum."
"5 ma-na 3 GÍN a-na Ša-lim-be-li 3½ ma-na URUDU a-na e-ṣé 1 ma-na a-na-ku al-qé","5 minas 3 shekels for Šalim-bēli; 3½ minas of copper for firewood; 1 mina I myself took;"
"5/6 ma-na a-na ku-ku-ba-tim i-nu-mì A-mur-ZU i-li-kà-ni ½ ma-na a-na Ša-lim-A-šur áš-qúl","5/6 mina for small jars when Amur-Suen came here; ½ mina I paid to Šallim-Aššur;"
"⅓ ma-na 5 GÍN a-ku-ku-bi-im i-nu-mì Šu-Ku-bu-um ù Šál-ma-A-šur a-si-ú","25 shekels for a small jar when I invited Šu-Kūbum and Šallim-Aššur <gap>"
"i-nu-mì sa-ap-li-i ha-muš-tim 1¼ GÍN a-na UDU ¾ GÍN 15 ŠE 3 bi4-il5-té-en ⅓ GÍN 15 ŠE [a-na a-na um-ší-im 1⅓ GÍN a-na I.NUN 2½ GÍN a-na UDU i-nu-mì 1½ GÍN a-na pá-šu-re ù [li-ma-ni ha-sa-le 22½ ŠE a-kà-ni-im sa IGI ku-sí-im 1½ GÍN a-na e-ṣé ša ni-ib-ší-im","During the bottom end of the week-eponymy 1¼ shekel for a sheep; ¾ shekel for 3 double loads <of firewood>; 5/12 shekel for dried meat; 1⅓ shekel for butter; 2½ shekels for a sheep at the time of our eponymy; 1½ shekel for tables and <gap>; 22 ½ grains for a pot-stand which is in front of the chair; 1½ shekel for wood of the <gap>;"
"2⅔ GÍN a-na-ru-uq ŠE-im 2 GÍN a-na 2 DUG GIG i-Wa-li-ba-ni-ma ⅓ GÍN 15 ŠE a-na 3 bi4-lá-tim e-ṣé ša-qí-il5 1½ GÍN a-na 4 ki-ra-tim áš-qúl 2 DUG GIG 2 1/6 GÍN 2 DUG ŠE-um 2⅔ GÍN sa-qí-il5 i-ha-muš-tim áš-qúl","2⅔ shekels for a sack of barley; 2 shekels for two jars of wheat also in Walibani; 5/12 shekels paid for 3 loads of firewood; 1½ shekel I paid for 4 jars of beer; (for) 2 jars of wheat 2 1/6 shekels; (for) 2 jars of barley 2⅓ shekels was paid; I paid (it) during the week-eponymy."
"2⅔ GÍN a-na-ru-uq ŠE-im áš-qúl 2 DUG GIG 2⅔ GÍN áš-qúl 1⅓ GÍN 15 ŠE a-na 3 bi4-lá-tim áš-qúl ⅓ GÍN a-ni-qí ša ú-qí-tim e-pu-šu","I paid 2⅓ shekels for a sack of barley barley; (for) 2 jars of wheat I paid 2⅓ shekels; I paid 1 shekel 75 grains for 3 loads; ⅓ shekel for the grain offering that I made."
"½ GÍN a-qá-nu-e i-Wa-li-ba-ni áš-qúl ½ na-ru-uq ŠE-am 2⅓ GÍN áš-qúl 3 DUG GIG 3½ GÍN áš-qúl 1½ GÍN a-na UDU 1½ GÍN e-ṣé ša ni-ib-ší-im i-sa Pár-kà 1/6 GÍN a-ni-i[b-ší-im]","½ shekel I paid for reed in Walibani; (for) ½ sack of barley I paid 2⅓ shekels; for 3 jars of wheat I paid 3½ shekels; 1⅓ shekel for a sheep; 1½ shekel for firewood of <gap> during the festival of Parka; 1/6 shekel for <gap>"
"4 GÍN a-na si-iṭ-ri-im ša pu-ki-im 1½ GÍN a-na e-re-qi-im qá-nu-e áš-qúl 1⅔ GÍN a-sú-ba-ri-im áš-qúl","I paid 4 shekels for a scarf of paku-weave, 1½ shekel for a wagonload of reed; I paid 1⅔ shekel for subarum;"
"½ ma-na KÙ.B. a-na a-bar-ni-im áš-qúl 1/6 GÍN a-na um-ší-im ¼ GÍN a-šu-um-ki <gap> <gap> na-ru-uq: G[IG <gap>]","I paid ½ mina of silver for an Abarnian textile, 1/6 shekel for a piece of dried meat, ¼ shekel for onions, <gap> <gap> bags of wheat <gap>; <gap>"
"<gap> GÍ[N a-na <gap>] [ha]'-áš-lá-tim <gap> a-wa-ar-nu-a-lim ⅔ GÍN a-na e-ṣé áš-qúl","<gap> shek[els for] crushed wheat', <gap> for a <gap>; I paid ⅔ shekel for firewood;"
"⅔ GÍN a-pá-e ú-ṣa-qi-il5 1 bi-il5-té-en ½ GÍN áš-qúl ¼ GÍN a-na na-pá-hi-im","⅔ shekels I paid for chaff, for a double load I paid ½ shekel; ¼ shekel for the blacksmith."
"95 ki-ra-tim a-na <gap> ¼ GÍN.TA ù 7 ½ ŠE.TA ½ GÍN a-na <gap> 1/6 GÍN a-n[a <gap>] a-na <gap>","I supplied 95 drinks to <gap> at 52½ grains (of silver) each, ½ shekel for <gap> 1/6 shekel for <gap> for <gap> <gap>"
"3 DUG GIG 3 5/6 GÍN 15 ŠE áš-qúl 1 na-ru-uq ŠE-im (erasure) 3 GÍN áš-qúl 1½ GÍN a-na UDU ½ GÍN a-qá-nu-e ša šu-ru-up-tim","(For) 3 jars of wheat I paid 3¾ shekels; (for) 1 sack of barley 3 shekels; 1½ shekel for a sheep; ½ shekel I paid for reed used a fuel;"
"áš-qúl ½ GÍN a-na bi-lá-tim e-ṣé áš-qúl 1/6 GÍN a-Ì.NUN áš-qúl 1½ GÍN a-na ŠE-im 2 DUG áš-qúl","½ shekel I paid for a few loads of firewood; 1/6 shekel I paid for butter; 1½ shekel I paid for two jars of barley;"
"1¼ GÍN a-na 1 DUG GIG áš-qúl ⅓ GÍN a-na e-ṣé bi-lá-tim áš-qúl","1¼ shekel I paid for 1 jar of wheat; ⅓ shekel I paid for a few loads of firewood."
"5 ú-kà-pu-ú ša 4 ANŠE.HI.A zu-ur-zu 4 ma-at-li-iš-hu 3 ma-as-ra-du mì-ma a-nim KI Puzur4-IŠKUR","5 saddlecloths of 4 donkeys, pouches, 4 packing-racks, 3 packsaddles - all this is with Puzur-Adad."
"zu-ur-zu 1 ma-at-li-iš-hu-<um> 2 eb-le sí-kà-tim 1 ma-as-[ra-d]um 1 nu!-hu-u[m š]a Ì.GIŠ ù pá-at-ru-u[m] mì-ma a-nim KI Hu-hu-<gap>","Pouches, 1 packing-rack, 2 ropes with pegs, 1 packsaddle, 1 skin container with oil and 1 dagger - all this is with Huhu<gap>"
"zu-ur-zu 1 ma-at-li-iš-hu-um 1 ma-as-ra-dum KI Puzur4-A-na","Pouches, 1 packing-rack, 1 saddlecloth, with Puzur-Anna"
"⅔ ma-na 3 LÁ 1/6 GÍN KÙ.B. i-li-bi4-šu-nu a-hu-ur","42 5/6 shekels of silver is still due by them"
"5¼ GÍN KÙ.B. i-ṣí-ba-at 5 ma-na-im KÙ.B. a-hu-u[r]","5¼ shekels of silver from the interest on 5 minas is still due."
"13¼ GÍN KÙ.B. ší-im hu-sà-ri-n[i] ša i-Šu-pì-lu-li-a a-dí-nu iš-tí kà-ri-im Dur4-hu-mì-it","13¼ shekels of silver, the price of our lapis lazuli, which I sold in Šuppiluliya, is due from the Durhumit colony."
"2 TÚG ma-ku-ha-a[n] iš-tí Šu-Ku-bi-im","2 makūhu-textiles due from Šu-Kūbum;"
"1 TÚG na-ah-lá-áp-[tám] a-na be-el a-lim a-na Bu-zu-li-a [ú]-kà-il5","1 cloak for the lord of the town I offered to Buzuliya;"
"20 ma-na URUDU [i]š-ti [Ib]-ni-UTU <gap> x ša A-mur-UTU","20 minas of copper due from Ibni-Šamaš the <gap> of Amur-Šamaš;"
"8½ GÍN KÙ.B. iš-tí Sú-e-ta-ta","8½ shekels of silver due from Suettata."
"za-ku-ú-um e-zi-ib 2 ma-na ša DAM.GÀR","<gap> purified, apart from 2 minas of the tamkārum."
"ŠÀ.BA a-ma-lá té-er-tí-kà 4 ma-na 10 GÍN ša ik-ri-bi4 a-na A-ta-a-a <ù> GAL-A-šur","Thereof, in accordance with your instruction, 4 minas 10 shekels of temple funds for Ataya <and> Rabi-Aššur;"
"2 ma-na 8½ GÍN a-na Hi-na-a ú A-ta-a-a ½ ma-na a-na A-šur-DÙG ⅔ ma-na 1 GÍN a-na A-ta-a-a ⅓ ma-na","2 minas 8½ shekels for Hinnāya and Ataya; ½ mina for Aššur-ṭāb; 41 shekels for Ataya; ⅓ mina for"
"a-na I-da-ZU ⅓ ma-na a-na A-šur-ba-ni mì-ma a-nim ku-nu-ki GAL-A-šur na-ší","I-da-Suen; ⅓ mina for Aššur-bāni – all this under my seals Rabi-Aššur is bringing."
"a-na 2 ANŠE ⅓ ma-na 3 GÍN ni-iš-qúl 12 GÍN KÙ [a-na] [kà-ší]-im ú ma-ṣa-ra-tim [<gap> En-n]am-A-šur","For 2 donkeys we paid 23 shekels, 12 shekels of silver for the official and the guarding <gap> Enna]m-Aššur"
"<gap> ŠÀ.BA ⅓ ma-na 6 GÍN KÙ.B. <gap> ki [<gap> URU]DU ší-kam GAL-A-šur","<gap> Thereof 26 shekels of silver <gap> <gap> šikku-copper Rabi-Aššur."
"2⅓ ma-na KÙ.B. ṣa-ru-pá-am ku-nu-ki-a Be-lá-lá-a ú-bi4-il5","2⅓ minas of refined silver, under my seal, Belalaya brought away;"
"3 GÍN KÙ.B. a-qá-tí-šu a-dí-in 2 GÍN KÙ.B. a-pá-ni-ri 3½ ma-na [URUDU] ša 4 GÍN KÙ.B [sà-he]-er-tám","3 shekels of silver I gave him for expenses, 2 shekels of silver for panna/ira, 3½ minas of copper with a value of 4 shekels of silver (for) small wares."
"[mì-m]a a-ni-im <gap> [ú] A-šùr-mu-ta-pì-il5 [ub]-lu","All this <gap> and Aššur-mutappil brought away."
"IGI IŠKUR-ba-ni DUMU Ga-na-a IGI Ku-lu-ma-a","In the presence of Adad-bāni, son of Ganaya, (and) of Kulumaya."
"A-šùr-i-mì-tí ⅓ ma-na 5 GÍN KÙ.B. 1 GÍN KÙ.GI A-ta-ah-šu ú-bi4-il5-šu-um","As for Aššur-imittī, 25 shekels of silver (and) 1 shekel gold Atahšu brought him."
